Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes,season,Div
Regular season,1.0,Fri,2018-07-27,20:30,Standard Liège,3–2,Gent,21169.0,Stade Maurice Dufrasne,Nicolas Laforge,Match Report,,19,B1
Regular season,1.0,Sat,2018-07-28,18:00,Kortrijk,1–4,Anderlecht,7189.0,Guldensporenstadion,Bram Van Driessche,Match Report,,19,B1
Regular season,1.0,Sat,2018-07-28,20:00,Sint-Truiden,0–0,Cercle Brugge,5346.0,Stayen,Bert Put,Match Report,,19,B1
Regular season,1.0,Sat,2018-07-28,20:00,Zulte Waregem,2–2,Waasland-Bev,5208.0,Regenboogstadion,Jan Boterberg,Match Report,,19,B1
Regular season,1.0,Sat,2018-07-28,20:30,Oostende,2–1,Excel Mouscron,4616.0,Versluys Arena,Wesley Alen,Match Report,,19,B1
Regular season,1.0,Sun,2018-07-29,14:30,Club Brugge,5–2,Eupen,19408.0,Jan Breydelstadion,Nathan Verboomen,Match Report,,19,B1
Regular season,1.0,Sun,2018-07-29,18:00,Charleroi,0–1,Antwerp,9006.0,Stade du Pays de Charleroi,Lawrence Visser,Match Report,,19,B1
Regular season,1.0,Sun,2018-07-29,20:00,Lokeren,0–4,Genk,4493.0,Daknamstadion,Bart Vertenten,Match Report,,19,B1
,,,,,,,,,,,,,19,B1
Regular season,2.0,Fri,2018-08-03,20:30,Waasland-Bev,0–0,Standard Liège,3833.0,Freethiel-Stadion,Bram Van Driessche,Match Report,,19,B1
Regular season,2.0,Sat,2018-08-04,18:00,Eupen,1–4,Charleroi,2444.0,Stadion am Kehrweg,Nicolas Laforge,Match Report,,19,B1
Regular season,2.0,Sat,2018-08-04,20:00,Antwerp,0–0,Kortrijk,13432.0,Bosuilstadion,Erik Lambrechts,Match Report,,19,B1
Regular season,2.0,Sat,2018-08-04,20:00,Cercle Brugge,3–2,Lokeren,5460.0,Jan Breydelstadion,Wesley Alen,Match Report,,19,B1
Regular season,2.0,Sat,2018-08-04,20:30,Gent,1–1,Zulte Waregem,17067.0,GHELAMCO-arena,Christof Dierick,Match Report,,19,B1
Regular season,2.0,Sun,2018-08-05,14:30,Anderlecht,5–2,Oostende,19207.0,Stade Constant Vanden Stock,Sébastien Delferière,Match Report,,19,B1
Regular season,2.0,Sun,2018-08-05,18:00,Genk,1–1,Sint-Truiden,17850.0,Luminus Arena,Wim Smet,Match Report,,19,B1
Regular season,2.0,Sun,2018-08-05,20:00,Excel Mouscron,0–1,Club Brugge,4814.0,Stade Le Canonnier,Alexandre Boucaut,Match Report,,19,B1
,,,,,,,,,,,,,19,B1
Regular season,3.0,Fri,2018-08-10,20:30,Club Brugge,3–0,Kortrijk,21732.0,Jan Breydelstadion,Wim Smet,Match Report,,19,B1
Regular season,3.0,Sat,2018-08-11,18:00,Standard Liège,0–0,Cercle Brugge,18018.0,Stade Maurice Dufrasne,Sébastien Delferière,Match Report,,19,B1
Regular season,3.0,Sat,2018-08-11,20:00,Zulte Waregem,4–0,Eupen,5684.0,Regenboogstadion,Bert Put,Match Report,,19,B1
Regular season,3.0,Sat,2018-08-11,20:00,Sint-Truiden,1–1,Lokeren,5237.0,Stayen,Lothar D'Hondt,Match Report,,19,B1
Regular season,3.0,Sat,2018-08-11,20:30,Excel Mouscron,0–1,Antwerp,2954.0,Stade Le Canonnier,Bram Van Driessche,Match Report,,19,B1
Regular season,3.0,Sun,2018-08-12,14:30,Oostende,0–2,Genk,7448.0,Versluys Arena,Lawrence Visser,Match Report,,19,B1
Regular season,3.0,Sun,2018-08-12,18:00,Charleroi,1–2,Anderlecht,12303.0,Stade du Pays de Charleroi,Christof Dierick,Match Report,,19,B1
Regular season,3.0,Sun,2018-08-12,20:00,Gent,4–1,Waasland-Bev,16047.0,GHELAMCO-arena,Bart Vertenten,Match Report,,19,B1
,,,,,,,,,,,,,19,B1
Regular season,4.0,Fri,2018-08-17,20:30,Anderlecht,2–0,Excel Mouscron,18500.0,Stade Constant Vanden Stock,Erik Lambrechts,Match Report,,19,B1
Regular season,4.0,Sat,2018-08-18,18:00,Lokeren,0–3,Standard Liège,3978.0,Daknamstadion,Nathan Verboomen,Match Report,,19,B1
Regular season,4.0,Sat,2018-08-18,20:00,Waasland-Bev,2–2,Sint-Truiden,3989.0,Freethiel-Stadion,Wim Smet,Match Report,,19,B1
Regular season,4.0,Sat,2018-08-18,20:00,Cercle Brugge,3–1,Zulte Waregem,6943.0,Jan Breydelstadion,Bart Vertenten,Match Report,,19,B1
Regular season,4.0,Sat,2018-08-18,20:30,Kortrijk,1–2,Oostende,6399.0,Guldensporenstadion,Bert Put,Match Report,,19,B1
Regular season,4.0,Sun,2018-08-19,14:30,Antwerp,1–1,Club Brugge,12303.0,Bosuilstadion,Jonathan Lardot,Match Report,,19,B1
Regular season,4.0,Sun,2018-08-19,18:00,Genk,3–1,Charleroi,14657.0,Luminus Arena,Bram Van Driessche,Match Report,,19,B1
Regular season,4.0,Sun,2018-08-19,20:00,Eupen,2–3,Gent,2980.0,Stadion am Kehrweg,Lawrence Visser,Match Report,,19,B1
,,,,,,,,,,,,,19,B1
Regular season,5.0,Fri,2018-08-24,20:30,Oostende,3–1,Zulte Waregem,5043.0,Versluys Arena,Wim Smet,Match Report,,19,B1
Regular season,5.0,Sat,2018-08-25,18:00,Standard Liège,3–2,Sint-Truiden,24123.0,Stade Maurice Dufrasne,Erik Lambrechts,Match Report,,19,B1
Regular season,5.0,Sat,2018-08-25,20:00,Excel Mouscron,0–1,Eupen,2121.0,Stade Le Canonnier,Sébastien Delferière,Match Report,,19,B1
Regular season,5.0,Sat,2018-08-25,20:00,Antwerp,1–0,Cercle Brugge,10489.0,Bosuilstadion,Christof Dierick,Match Report,,19,B1
Regular season,5.0,Sat,2018-08-25,20:30,Charleroi,0–2,Kortrijk,7474.0,Stade du Pays de Charleroi,Jan Boterberg,Match Report,,19,B1
Regular season,5.0,Sun,2018-08-26,14:30,Club Brugge,2–1,Anderlecht,25697.0,Jan Breydelstadion,Bart Vertenten,Match Report,,19,B1
Regular season,5.0,Sun,2018-08-26,18:00,Gent,2–1,Lokeren,15895.0,GHELAMCO-arena,Jonathan Lardot,Match Report,,19,B1
Regular season,5.0,Sun,2018-08-26,20:00,Genk,3–2,Waasland-Bev,16544.0,Luminus Arena,Wesley Alen,Match Report,,19,B1
,,,,,,,,,,,,,19,B1
Regular season,6.0,Fri,2018-08-31,20:30,Zulte Waregem,2–5,Club Brugge,9210.0,Regenboogstadion,Nicolas Laforge,Match Report,,19,B1
Regular season,6.0,Sat,2018-09-01,18:00,Eupen,2–1,Standard Liège,5522.0,Stadion am Kehrweg,Bram Van Driessche,Match Report,,19,B1
Regular season,6.0,Sat,2018-09-01,20:00,Lokeren,1–0,Waasland-Bev,4854.0,Daknamstadion,Lawrence Visser,Match Report,,19,B1
Regular season,6.0,Sat,2018-09-01,20:00,Sint-Truiden,1–0,Oostende,4619.0,Stayen,Christof Dierick,Match Report,,19,B1
Regular season,6.0,Sat,2018-09-01,20:30,Charleroi,3–1,Excel Mouscron,7823.0,Daknamstadion,Jonathan Lardot,Match Report,,19,B1
Regular season,6.0,Sun,2018-09-02,14:30,Anderlecht,1–1,Antwerp,20364.0,Stade Constant Vanden Stock,Wim Smet,Match Report,,19,B1
