Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes,season,Div
1.0,Fri,2019-07-26,20:30,Genk,2–1,Kortrijk,16120.0,Luminus Arena,Erik Lambrechts,Match Report,,20,B1
1.0,Sat,2019-07-27,18:00,Cercle Brugge,0–2,Standard Liège,4311.0,Jan Breydelstadion,Alexandre Boucaut,Match Report,,20,B1
1.0,Sat,2019-07-27,20:00,Sint-Truiden,0–1,Excel Mouscron,4338.0,Stayen,Lawrence Visser,Match Report,,20,B1
1.0,Sat,2019-07-27,20:00,Zulte Waregem,0–2,Mechelen,7033.0,Regenboogstadion,Jonathan Lardot,Match Report,,20,B1
1.0,Sat,2019-07-27,20:30,Waasland-Bev,1–3,Club Brugge,5229.0,Freethiel-Stadion,Lothar D'Hondt,Match Report,,20,B1
1.0,Sun,2019-07-28,14:30,Anderlecht,1–2,Oostende,19000.0,Lotto Park,Bram Van Driessche,Match Report,,20,B1
1.0,Sun,2019-07-28,18:00,Charleroi,1–1,Gent,8760.0,Stade du Pays de Charleroi,Nicolas Laforge,Match Report,,20,B1
1.0,Sun,2019-07-28,20:00,Eupen,1–4,Antwerp,4000.0,Stadion am Kehrweg,Wesley Alen,Match Report,,20,B1
,,,,,,,,,,,,20,B1
2.0,Fri,2019-08-02,20:30,Club Brugge,6–0,Sint-Truiden,24600.0,Jan Breydelstadion,Nicolas Laforge,Match Report,,20,B1
2.0,Sat,2019-08-03,18:00,Standard Liège,4–0,Zulte Waregem,25778.0,Stade Maurice Dufrasne,Nathan Verboomen,Match Report,,20,B1
2.0,Sat,2019-08-03,20:00,Kortrijk,1–1,Charleroi,5717.0,Guldensporenstadion,Jan Boterberg,Match Report,,20,B1
2.0,Sat,2019-08-03,20:00,Oostende,3–1,Cercle Brugge,5487.0,Versluys Arena,Kevin Van Damme,Match Report,,20,B1
2.0,Sat,2019-08-03,20:30,Mechelen,3–1,Genk,15072.0,AFAS-stadion Achter de Kazerne,Bram Van Driessche,Match Report,,20,B1
2.0,Sun,2019-08-04,14:30,Gent,6–1,Eupen,17780.0,GHELAMCO-arena,Lawrence Visser,Match Report,,20,B1
2.0,Sun,2019-08-04,18:00,Excel Mouscron,0–0,Anderlecht,8257.0,Stade Le Canonnier,Christof Dierick,Match Report,,20,B1
2.0,Sun,2019-08-04,20:00,Antwerp,4–1,Waasland-Bev,12762.0,Bosuilstadion,Alexandre Boucaut,Match Report,,20,B1
,,,,,,,,,,,,20,B1
3.0,Fri,2019-08-09,20:30,Anderlecht,0–0,Mechelen,19000.0,Lotto Park,Lawrence Visser,Match Report,,20,B1
3.0,Sat,2019-08-10,18:00,Oostende,0–2,Club Brugge,6753.0,Versluys Arena,Erik Lambrechts,Match Report,,20,B1
3.0,Sat,2019-08-10,20:00,Eupen,1–1,Waasland-Bev,2145.0,Stadion am Kehrweg,Jasper Vergoote,Match Report,,20,B1
3.0,Sat,2019-08-10,20:00,Cercle Brugge,1–3,Kortrijk,4032.0,Jan Breydelstadion,Bert Put,Match Report,,20,B1
3.0,Sat,2019-08-10,20:30,Genk,0–2,Zulte Waregem,17820.0,Luminus Arena,Lothar D'Hondt,Match Report,,20,B1
3.0,Sun,2019-08-11,14:30,Sint-Truiden,2–1,Standard Liège,10000.0,Stayen,Jonathan Lardot,Match Report,,20,B1
3.0,Sun,2019-08-11,18:00,Charleroi,2–1,Antwerp,9868.0,Stade du Pays de Charleroi,Nathan Verboomen,Match Report,,20,B1
3.0,Sun,2019-08-11,20:00,Excel Mouscron,2–1,Gent,3753.0,Stade Le Canonnier,Jan Boterberg,Match Report,,20,B1
,,,,,,,,,,,,20,B1
4.0,Fri,2019-08-16,20:30,Club Brugge,0–0,Eupen,27000.0,Jan Breydelstadion,Bram Van Driessche,Match Report,,20,B1
