Round,Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes,season,Div
Regular season,1.0,Fri,2019-08-16,20:30,Bayern Munich,2.5,2–2,1.1,Hertha BSC,75000.0,Allianz Arena,Harm Osmers,Match Report,,20,D1
Regular season,1.0,Sat,2019-08-17,15:30,Wolfsburg,1.0,2–1,1.2,Köln,25099.0,Volkswagen Arena,Sven Jablonski,Match Report,,20,D1
Regular season,1.0,Sat,2019-08-17,15:30,Freiburg,2.3,3–0,1.0,Mainz 05,24000.0,Schwarzwald-Stadion,Robert Hartmann,Match Report,,20,D1
Regular season,1.0,Sat,2019-08-17,15:30,Dortmund,3.2,5–1,0.9,Augsburg,81365.0,Signal Iduna Park,Frank Willenborg,Match Report,,20,D1
Regular season,1.0,Sat,2019-08-17,15:30,Leverkusen,2.5,3–2,1.2,Paderborn 07,26208.0,BayArena,Tobias Stieler,Match Report,,20,D1
Regular season,1.0,Sat,2019-08-17,15:30,Werder Bremen,1.9,1–3,1.0,Düsseldorf,42100.0,Weserstadion,Felix Zwayer,Match Report,,20,D1
Regular season,1.0,Sat,2019-08-17,18:30,M'Gladbach,1.5,0–0,0.8,Schalke 04,54022.0,Stadion im Borussia-Park,Felix Brych,Match Report,,20,D1
Regular season,1.0,Sun,2019-08-18,15:30,Eint Frankfurt,1.8,1–0,0.8,Hoffenheim,50200.0,Deutsche Bank Park,Daniel Siebert,Match Report,,20,D1
Regular season,1.0,Sun,2019-08-18,18:00,Union Berlin,1.0,0–4,3.4,RB Leipzig,22467.0,Stadion An der Alten Försterei,Markus Schmidt,Match Report,,20,D1
,,,,,,,,,,,,,,,20,D1
Regular season,2.0,Fri,2019-08-23,20:30,Köln,0.9,1–3,2.2,Dortmund,50000.0,RheinEnergieSTADION,Christian Dingert,Match Report,,20,D1
Regular season,2.0,Sat,2019-08-24,15:30,Paderborn 07,2.3,1–3,2.3,Freiburg,14322.0,Benteler-Arena,Tobias Welz,Match Report,,20,D1
Regular season,2.0,Sat,2019-08-24,15:30,Düsseldorf,1.0,1–3,1.6,Leverkusen,44538.0,Merkur Spielarena,Patrick Ittrich,Match Report,,20,D1
Regular season,2.0,Sat,2019-08-24,15:30,Hoffenheim,0.9,3–2,1.2,Werder Bremen,27333.0,PreZero Arena,Sascha Stegemann,Match Report,,20,D1
Regular season,2.0,Sat,2019-08-24,15:30,Augsburg,1.5,1–1,1.1,Union Berlin,27703.0,WWK Arena,Robert Schröder,Match Report,,20,D1
Regular season,2.0,Sat,2019-08-24,15:30,Mainz 05,1.7,1–3,1.9,M'Gladbach,28005.0,Opel Arena,Martin Petersen,Match Report,,20,D1
Regular season,2.0,Sat,2019-08-24,18:30,Schalke 04,0.8,0–3,1.5,Bayern Munich,62271.0,Veltins-Arena,Marco Fritz,Match Report,,20,D1
Regular season,2.0,Sun,2019-08-25,15:30,RB Leipzig,1.4,2–1,1.0,Eint Frankfurt,40108.0,Red Bull Arena,Benjamin Cortus,Match Report,,20,D1
Regular season,2.0,Sun,2019-08-25,18:00,Hertha BSC,0.9,0–3,1.3,Wolfsburg,42738.0,Olympiastadion Berlin,Guido Winkmann,Match Report,,20,D1
,,,,,,,,,,,,,,,20,D1
Regular season,3.0,Fri,2019-08-30,20:30,M'Gladbach,1.6,1–3,2.9,RB Leipzig,47327.0,Stadion im Borussia-Park,Sven Jablonski,Match Report,,20,D1
Regular season,3.0,Sat,2019-08-31,15:30,Wolfsburg,1.1,1–1,0.5,Paderborn 07,23750.0,Volkswagen Arena,Daniel Schlager,Match Report,,20,D1
Regular season,3.0,Sat,2019-08-31,15:30,Schalke 04,1.3,3–0,0.8,Hertha BSC,58875.0,Veltins-Arena,Tobias Stieler,Match Report,,20,D1
Regular season,3.0,Sat,2019-08-31,15:30,Leverkusen,0.9,0–0,0.6,Hoffenheim,26506.0,BayArena,Felix Zwayer,Match Report,,20,D1
Regular season,3.0,Sat,2019-08-31,15:30,Freiburg,1.1,1–2,1.7,Köln,24000.0,Schwarzwald-Stadion,Robert Kampka,Match Report,,20,D1
Regular season,3.0,Sat,2019-08-31,15:30,Bayern Munich,2.9,6–1,0.8,Mainz 05,75000.0,Allianz Arena,Markus Schmidt,Match Report,,20,D1
Regular season,3.0,Sat,2019-08-31,18:30,Union Berlin,1.4,3–1,1.7,Dortmund,22012.0,Stadion An der Alten Försterei,Felix Brych,Match Report,,20,D1
Regular season,3.0,Sun,2019-09-01,15:30,Werder Bremen,2.3,3–2,1.4,Augsburg,40041.0,Weserstadion,Sören Storks,Match Report,,20,D1
Regular season,3.0,Sun,2019-09-01,18:00,Eint Frankfurt,1.7,2–1,0.9,Düsseldorf,49800.0,Deutsche Bank Park,Frank Willenborg,Match Report,,20,D1
,,,,,,,,,,,,,,,20,D1
Regular season,4.0,Fri,2019-09-13,20:30,Düsseldorf,0.7,1–1,2.1,Wolfsburg,36758.0,Merkur Spielarena,Manuel Gräfe,Match Report,,20,D1
Regular season,4.0,Sat,2019-09-14,15:30,Mainz 05,1.2,2–1,2.2,Hertha BSC,22798.0,Opel Arena,Marco Fritz,Match Report,,20,D1
Regular season,4.0,Sat,2019-09-14,15:30,Köln,0.9,0–1,1.4,M'Gladbach,50000.0,RheinEnergieSTADION,Deniz Aytekin,Match Report,,20,D1
Regular season,4.0,Sat,2019-09-14,15:30,Augsburg,1.3,2–1,1.1,Eint Frankfurt,28513.0,WWK Arena,Harm Osmers,Match Report,,20,D1
