Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes,season,Div
Regular season,1.0,Fri,2017-07-28,20:30,Bochum,0–1,St. Pauli,27350.0,Vonovia Ruhrstadion,Bastian Dankert,Match Report,,18,D2
Regular season,1.0,Sat,2017-07-29,13:00,Ingolstadt 04,0–1,Union Berlin,10870.0,Audi-Sportpark,Sascha Stegemann,Match Report,,18,D2
Regular season,1.0,Sat,2017-07-29,15:30,Darmstadt 98,1–0,Greuther Fürth,16100.0,Jonathan-Heimes-Stadion am Böllenfalltor,Sören Storks,Match Report,,18,D2
Regular season,1.0,Sat,2017-07-29,15:30,Arminia,2–1,Jahn R'burg,17333.0,SchücoArena,Sven Jablonski,Match Report,,18,D2
Regular season,1.0,Sun,2017-07-30,13:30,Nürnberg,3–0,Kaiserslautern,30569.0,Max-Morlock-Stadion,Markus Schmidt,Match Report,,18,D2
Regular season,1.0,Sun,2017-07-30,15:30,Holstein Kiel,2–2,Sandhausen,9513.0,Holstein-Stadion,Benjamin Cortus,Match Report,,18,D2
Regular season,1.0,Sun,2017-07-30,15:30,Dresden,1–0,MSV Duisburg,28520.0,DDV-Stadion,Felix Zwayer,Match Report,,18,D2
Regular season,1.0,Mon,2017-07-31,20:30,Düsseldorf,2–2,Braunschweig,25492.0,Merkur Spielarena,Christian Dingert,Match Report,,18,D2
,,,,,,,,,,,,,18,D2
Regular season,2.0,Fri,2017-08-04,18:30,Sandhausen,1–0,Ingolstadt 04,5321.0,Hardtwaldstadion,Christof Günsch,Match Report,,18,D2
Regular season,2.0,Fri,2017-08-04,18:30,Union Berlin,4–3,Holstein Kiel,21242.0,Stadion An der Alten Försterei,Frank Willenborg,Match Report,,18,D2
Regular season,2.0,Fri,2017-08-04,20:30,Kaiserslautern,1–1,Darmstadt 98,30786.0,Fritz-Walter-Stadion,Robert Hartmann,Match Report,,18,D2
Regular season,2.0,Sat,2017-08-05,13:00,MSV Duisburg,1–1,Bochum,22893.0,Schauinsland-Reisen-Arena,Martin Petersen,Match Report,,18,D2
Regular season,2.0,Sat,2017-08-05,15:30,Braunschweig,2–0,Heidenheim,18550.0,Eintracht-Stadion,Daniel Siebert,Match Report,,18,D2
Regular season,2.0,Sun,2017-08-06,13:30,Jahn R'burg,0–1,Nürnberg,15000.0,Continental Arena,Harm Osmers,Match Report,,18,D2
Regular season,2.0,Sun,2017-08-06,15:30,Greuther Fürth,1–2,Arminia,9070.0,Sportpark Ronhof Thomas Sommer,Patrick Ittrich,Match Report,,18,D2
Regular season,2.0,Sun,2017-08-06,15:30,Erzgebirge Aue,0–2,Düsseldorf,9510.0,Sparkassen-Erzgebirgsstadion,Felix Brych,Match Report,,18,D2
Regular season,2.0,Mon,2017-08-07,20:30,St. Pauli,2–2,Dresden,28699.0,Millerntor-Stadion,Guido Winkmann,Match Report,,18,D2
,,,,,,,,,,,,,18,D2
Regular season,1.0,Wed,2017-08-09,20:00,Heidenheim,2–1,Erzgebirge Aue,10500.0,Voith-Arena,Florian Badstübner,Match Report,,18,D2
,,,,,,,,,,,,,18,D2
Regular season,3.0,Fri,2017-08-18,18:30,Braunschweig,1–1,Erzgebirge Aue,20300.0,Eintracht-Stadion,René Rohde,Match Report,,18,D2
Regular season,3.0,Fri,2017-08-18,18:30,Darmstadt 98,3–0,St. Pauli,17400.0,Jonathan-Heimes-Stadion am Böllenfalltor,Aarne Aarnink,Match Report,,18,D2
Regular season,3.0,Sat,2017-08-19,13:00,Dresden,0–4,Sandhausen,27253.0,DDV-Stadion,Timo Gerach,Match Report,,18,D2
