Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes,season,Div
Regular season,1.0,Fri,2017-08-04,19:45,Sunderland,1–1,Derby County,29578.0,Stadium of Light,Oliver Langford,Match Report,,18,E2
Regular season,1.0,Fri,2017-08-04,19:45,Nott'ham Forest,1–0,Millwall,28065.0,The City Ground,Peter Bankes,Match Report,,18,E2
Regular season,1.0,Sat,2017-08-05,15:00,Wolves,1–0,Middlesbrough,29692.0,Molineux Stadium,Darren Bond,Match Report,,18,E2
Regular season,1.0,Sat,2017-08-05,15:00,Bristol City,3–1,Barnsley,18742.0,Ashton Gate Stadium,Andrew Davies,Match Report,,18,E2
Regular season,1.0,Sat,2017-08-05,15:00,QPR,2–0,Reading,14460.0,Loftus Road Stadium,Scott Duncan,Match Report,,18,E2
Regular season,1.0,Sat,2017-08-05,15:00,Fulham,1–1,Norwich City,20134.0,Craven Cottage,James Linington,Match Report,,18,E2
Regular season,1.0,Sat,2017-08-05,15:00,Preston,1–0,Sheffield Weds,18267.0,Deepdale Stadium,Tony Harrington,Match Report,,18,E2
Regular season,1.0,Sat,2017-08-05,15:00,Sheffield Utd,1–0,Brentford,26746.0,Bramall Lane,Steve Martin,Match Report,,18,E2
Regular season,1.0,Sat,2017-08-05,15:00,Burton Albion,0–1,Cardiff City,5050.0,Pirelli Stadium,Geoff Eltringham,Match Report,,18,E2
Regular season,1.0,Sat,2017-08-05,15:00,Ipswich Town,1–0,Birmingham City,18153.0,Portman Road Stadium,Tim Robinson,Match Report,,18,E2
Regular season,1.0,Sat,2017-08-05,17:30,Aston Villa,1–1,Hull City,31241.0,Villa Park,Andy Madley,Match Report,,18,E2
Regular season,1.0,Sun,2017-08-06,16:30,Bolton,2–3,Leeds United,19857.0,Macron Stadium,Simon Hooper,Match Report,,18,E2
,,,,,,,,,,,,,18,E2
Regular season,2.0,Sat,2017-08-12,15:00,Barnsley,1–2,Ipswich Town,12009.0,Oakwell Stadium,Geoff Eltringham,Match Report,,18,E2
Regular season,2.0,Sat,2017-08-12,15:00,Birmingham City,2–1,Bristol City,21269.0,St Andrew's Trillion Trophy Stadium,Darren Bond,Match Report,,18,E2
Regular season,2.0,Sat,2017-08-12,15:00,Brentford,3–4,Nott'ham Forest,10169.0,Griffin Park,James Linington,Match Report,,18,E2
Regular season,2.0,Sat,2017-08-12,15:00,Hull City,4–1,Burton Albion,14882.0,Kingston Communications Stadium,Darren England,Match Report,,18,E2
Regular season,2.0,Sat,2017-08-12,15:00,Sheffield Weds,1–1,QPR,25537.0,Hillsborough Stadium,Chris Kavanagh,Match Report,,18,E2
Regular season,2.0,Sat,2017-08-12,15:00,Reading,1–1,Fulham,17398.0,Madejski Stadium,Simon Hooper,Match Report,,18,E2
Regular season,2.0,Sat,2017-08-12,15:00,Cardiff City,3–0,Aston Villa,23899.0,Cardiff City Stadium,Tim Robinson,Match Report,,18,E2
Regular season,2.0,Sat,2017-08-12,15:00,Millwall,1–1,Bolton,12238.0,The Den,Andrew Davies,Match Report,,18,E2
Regular season,2.0,Sat,2017-08-12,15:00,Leeds United,0–0,Preston,32880.0,Elland Road,Scott Duncan,Match Report,,18,E2
Regular season,2.0,Sat,2017-08-12,15:00,Derby County,0–2,Wolves,27757.0,iPro Stadium,Lee Probert,Match Report,,18,E2
Regular season,2.0,Sat,2017-08-12,17:30,Middlesbrough,1–0,Sheffield Utd,26876.0,Riverside Stadium,Peter Bankes,Match Report,,18,E2
Regular season,2.0,Sun,2017-08-13,13:30,Norwich City,1–3,Sunderland,26343.0,Carrow Road,Andy Madley,Match Report,,18,E2
,,,,,,,,,,,,,18,E2
Regular season,3.0,Tue,2017-08-15,19:45,Leeds United,0–0,Fulham,28918.0,Elland Road,Darren Bond,Match Report,,18,E2
Regular season,3.0,Tue,2017-08-15,19:45,Brentford,2–2,Bristol City,9811.0,Griffin Park,Peter Bankes,Match Report,,18,E2
Regular season,3.0,Tue,2017-08-15,19:45,Cardiff City,2–0,Sheffield Utd,17844.0,Cardiff City Stadium,Lee Mason,Match Report,,18,E2
Regular season,3.0,Tue,2017-08-15,19:45,Middlesbrough,2–0,Burton Albion,24522.0,Riverside Stadium,Tim Robinson,Match Report,,18,E2
Regular season,3.0,Tue,2017-08-15,19:45,Barnsley,2–1,Nott'ham Forest,13883.0,Oakwell Stadium,Tony Harrington,Match Report,,18,E2
Regular season,3.0,Tue,2017-08-15,19:45,Hull City,2–3,Wolves,17145.0,Kingston Communications Stadium,Jeremy Simpson,Match Report,,18,E2
Regular season,3.0,Tue,2017-08-15,19:45,Millwall,3–4,Ipswich Town,11919.0,The Den,James Linington,Match Report,,18,E2
Regular season,3.0,Tue,2017-08-15,19:45,Birmingham City,0–0,Bolton,20215.0,St Andrew's Trillion Trophy Stadium,Darren England,Match Report,,18,E2
Regular season,3.0,Tue,2017-08-15,19:45,Derby County,1–0,Preston,24371.0,iPro Stadium,Geoff Eltringham,Match Report,,18,E2
Regular season,3.0,Tue,2017-08-15,20:00,Reading,2–1,Aston Villa,20144.0,Madejski Stadium,Kevin Friend,Match Report,,18,E2
Regular season,3.0,Wed,2017-08-16,19:45,Sheffield Weds,1–1,Sunderland,27631.0,Hillsborough Stadium,Steve Martin,Match Report,,18,E2
Regular season,3.0,Wed,2017-08-16,19:45,Norwich City,2–0,QPR,26082.0,Carrow Road,Oliver Langford,Match Report,,18,E2
,,,,,,,,,,,,,18,E2
Regular season,4.0,Fri,2017-08-18,19:45,Burton Albion,2–1,Birmingham City,4948.0,Pirelli Stadium,Tony Harrington,Match Report,,18,E2
Regular season,4.0,Sat,2017-08-19,12:15,Sheffield Utd,1–0,Barnsley,25482.0,Bramall Lane,Tim Robinson,Match Report,,18,E2
