Round,Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes,season,Div
Regular season,1.0,Fri,2021-08-06,19:45,Bournemouth,0.7,2–2,2.1,West Brom,9254.0,Vitality Stadium,Dean Whitestone,Match Report,,22,E2
Regular season,1.0,Sat,2021-08-07,15:00,Luton Town,2.2,3–0,0.2,P'borough Utd,10019.0,Kenilworth Road Stadium,Andy Woolmer,Match Report,,22,E2
Regular season,1.0,Sat,2021-08-07,15:00,Derby County,1.3,1–1,2.0,Huddersfield,16249.0,iPro Stadium,Geoff Eltringham,Match Report,,22,E2
Regular season,1.0,Sat,2021-08-07,15:00,Cardiff City,1.8,1–1,0.6,Barnsley,17431.0,Cardiff City Stadium,Steve Martin,Match Report,,22,E2
Regular season,1.0,Sat,2021-08-07,15:00,Preston,0.9,1–4,1.4,Hull City,12452.0,Deepdale Stadium,Gavin Ward,Match Report,,22,E2
Regular season,1.0,Sat,2021-08-07,15:00,Bristol City,1.2,1–1,0.5,Blackpool,18729.0,Ashton Gate Stadium,Andrew Davies,Match Report,,22,E2
Regular season,1.0,Sat,2021-08-07,15:00,Blackburn,3.5,2–1,1.2,Swansea City,10260.0,Ewood Park,David Webb,Match Report,,22,E2
Regular season,1.0,Sat,2021-08-07,15:00,Stoke City,2.0,3–2,1.0,Reading,9068.0,Bet365 Stadium,Matt Donohue,Match Report,,22,E2
Regular season,1.0,Sat,2021-08-07,15:00,QPR,0.5,1–1,0.8,Millwall,16127.0,Kiyan Prince Foundation Stadium,Oliver Langford,Match Report,,22,E2
Regular season,1.0,Sat,2021-08-07,20:00,Sheffield Utd,0.9,0–1,1.1,Birmingham City,29043.0,Bramall Lane,Tim Robinson,Match Report,,22,E2
Regular season,1.0,Sun,2021-08-08,13:30,Fulham,1.5,1–1,0.5,Middlesbrough,16058.0,Craven Cottage,Keith Stroud,Match Report,,22,E2
Regular season,1.0,Sun,2021-08-08,16:30,Coventry City,1.4,2–1,1.1,Nott'ham Forest,20843.0,Coventry Building Society Arena,James Linington,Match Report,,22,E2
