Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes,season,Div
Regular season,1.0,Fri,2018-07-27,20:00,Orléans,0–2,Lens,5000.0,Stade de la Source,Pignard Jérémie,Match Report,,19,F2
Regular season,1.0,Fri,2018-07-27,20:00,Ajaccio,0–1,Troyes,,Stade François Coty,Amaury Delerue,Match Report,,19,F2
Regular season,1.0,Fri,2018-07-27,20:00,Grenoble,1–0,Sochaux,7032.0,Stade des Alpes,Bastien Dechepy,Match Report,,19,F2
Regular season,1.0,Fri,2018-07-27,20:00,Nancy,0–2,Béziers,10205.0,Stade Marcel Picot,Karim Abed,Match Report,,19,F2
Regular season,1.0,Fri,2018-07-27,20:00,Clermont Foot,0–0,Châteauroux,2873.0,Stade Gabriel Montpied,Romain Lissorgue,Match Report,,19,F2
Regular season,1.0,Fri,2018-07-27,20:00,Valenciennes,3–1,Auxerre,6164.0,Stade du Hainaut,Romain Delpech,Match Report,,19,F2
Regular season,1.0,Fri,2018-07-27,20:00,Red Star,1–2,Niort,2955.0,Stade Pierre Brisson,Pierre Gaillouste,Match Report,,19,F2
Regular season,1.0,Fri,2018-07-27,20:00,Gazélec Ajaccio,1–1,Paris FC,2803.0,Stade François Coty,Yohann Rouinsard,Match Report,,19,F2
Regular season,1.0,Sat,2018-07-28,15:00,Lorient,0–0,Le Havre,7782.0,Stade Yves Allainmat - Le Moustoir,William Lavis,Match Report,,19,F2
Regular season,1.0,Mon,2018-07-30,20:45,Brest,0–1,Metz,8824.0,Stade Francis-Le Blé,Eric Wattellier,Match Report,,19,F2
,,,,,,,,,,,,,19,F2
Regular season,2.0,Fri,2018-08-03,20:00,Metz,5–1,Orléans,11180.0,Stade Saint-Symphorien,Aurélien Petit,Match Report,,19,F2
Regular season,2.0,Fri,2018-08-03,20:00,Le Havre,1–1,Grenoble,7040.0,Stade Océane,Yohann Rouinsard,Match Report,,19,F2
Regular season,2.0,Fri,2018-08-03,20:00,Troyes,1–2,Brest,6118.0,Stade de l'Aube,Antony Gautier,Match Report,,19,F2
Regular season,2.0,Fri,2018-08-03,20:00,Béziers,0–1,Ajaccio,1463.0,Stade de Sauclières,Bartolomeu Varela,Match Report,,19,F2
Regular season,2.0,Fri,2018-08-03,20:00,Paris FC,2–0,Nancy,3078.0,Stade Sébastien Charléty,Sylvain Palhies,Match Report,,19,F2
Regular season,2.0,Fri,2018-08-03,20:00,Niort,4–2,Clermont Foot,3619.0,Stade René Gaillard,Pignard Jérémie,Match Report,,19,F2
Regular season,2.0,Fri,2018-08-03,20:00,Sochaux,0–1,Valenciennes,6886.0,Stade Auguste-Bonal,Benjamin Lepaysant,Match Report,,19,F2
Regular season,2.0,Fri,2018-08-03,20:00,Auxerre,2–3,Gazélec Ajaccio,6892.0,Stade de l'Abbé Deschamps,Mehdi Mokhtari,Match Report,,19,F2
Regular season,2.0,Sat,2018-08-04,17:00,Lens,1–0,Red Star,30040.0,Stade Bollaert-Delelis,Faouzi Benchabane,Match Report,,19,F2
Regular season,2.0,Mon,2018-08-06,20:45,Châteauroux,1–2,Lorient,3580.0,Stade Gaston Petit,Romain Delpech,Match Report,,19,F2
,,,,,,,,,,,,,19,F2
Regular season,3.0,Fri,2018-08-10,20:00,Red Star,0–1,Le Havre,1558.0,Stade de Paris,Bastien Dechepy,Match Report,,19,F2
Regular season,3.0,Fri,2018-08-10,20:00,Troyes,0–1,Béziers,5800.0,Stade de l'Aube,Romain Lissorgue,Match Report,,19,F2
Regular season,3.0,Fri,2018-08-10,20:00,Nancy,0–3,Lens,11648.0,Stade Marcel Picot,Bartolomeu Varela,Match Report,,19,F2
Regular season,3.0,Fri,2018-08-10,20:00,Gazélec Ajaccio,1–3,Lorient,3175.0,Stade François Coty,Faouzi Benchabane,Match Report,,19,F2
Regular season,3.0,Fri,2018-08-10,20:00,Brest,1–1,Paris FC,7876.0,Stade Francis-Le Blé,Jeremy Stinat,Match Report,,19,F2
Regular season,3.0,Fri,2018-08-10,20:00,Orléans,0–3,Auxerre,3811.0,Stade de la Source,Benjamin Lepaysant,Match Report,,19,F2
Regular season,3.0,Fri,2018-08-10,20:00,Grenoble,1–0,Niort,6265.0,Stade des Alpes,William Lavis,Match Report,,19,F2
Regular season,3.0,Fri,2018-08-10,20:00,Ajaccio,2–3,Sochaux,3356.0,Stade François Coty,Sylvain Palhies,Match Report,,19,F2
Regular season,3.0,Fri,2018-08-10,20:00,Valenciennes,1–1,Châteauroux,6501.0,Stade du Hainaut,Jérôme Miguelgorry,Match Report,,19,F2
Regular season,3.0,Sat,2018-08-11,15:00,Clermont Foot,2–3,Metz,3148.0,Stade Gabriel Montpied,Pierre Gaillouste,Match Report,,19,F2
,,,,,,,,,,,,,19,F2
