Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes,season,Div
1.0,Fri,2019-07-26,20:00,Niort,0–2,Troyes,2959.0,Stade René Gaillard,Pierre Gaillouste,Match Report,,20,F2
1.0,Fri,2019-07-26,20:00,Nancy,0–0,Orléans,10642.0,Stade Marcel Picot,Gaël Angoula,Match Report,,20,F2
1.0,Fri,2019-07-26,20:00,Clermont Foot,3–0,Châteauroux,2557.0,Stade Gabriel Montpied,Mehdi Mokhtari,Match Report,,20,F2
1.0,Fri,2019-07-26,20:00,Sochaux,0–0,Caen,6429.0,Stade Auguste-Bonal,Franck Schneider,Match Report,,20,F2
1.0,Fri,2019-07-26,20:00,Rodez Aveyron,2–0,Auxerre,2727.0,Stade Paul Lignon,Bastien Dechepy,Match Report,,20,F2
1.0,Fri,2019-07-26,20:00,Chambly Oise,1–0,Valenciennes,3130.0,Stade des Marais,Remi Landry,Match Report,,20,F2
1.0,Fri,2019-07-26,20:00,Guingamp,3–3,Grenoble,8599.0,Stade du Roudourou,Mikael Lesage,Match Report,,20,F2
1.0,Fri,2019-07-26,20:00,Ajaccio,2–2,Le Havre,3027.0,Stade François Coty,Benoît Millot,Match Report,,20,F2
1.0,Sat,2019-07-27,15:00,Le Mans,1–2,Lens,17731.0,MMArena,Arnaud Baert,Match Report,,20,F2
1.0,Mon,2019-07-29,20:45,Lorient,3–0,Paris FC,9065.0,Stade Yves Allainmat - Le Moustoir,Nicolas Rainville,Match Report,,20,F2
,,,,,,,,,,,,20,F2
2.0,Fri,2019-08-02,20:00,Valenciennes,1–1,Nancy,5985.0,Stade du Hainaut,Pierre Gaillouste,Match Report,,20,F2
2.0,Fri,2019-08-02,20:00,Orléans,0–1,Chambly Oise,3694.0,Stade de la Source,Aurélien Petit,Match Report,,20,F2
2.0,Fri,2019-08-02,20:00,Auxerre,2–0,Le Mans,7430.0,Stade de l'Abbé Deschamps,Cédric Dos Santos,Match Report,,20,F2
2.0,Fri,2019-08-02,20:00,Châteauroux,0–0,Rodez Aveyron,2729.0,Stade Gaston Petit,Romain Lissorgue,Match Report,,20,F2
2.0,Fri,2019-08-02,20:00,Le Havre,1–1,Niort,6256.0,Stade Océane,Bartolomeu Varela,Match Report,,20,F2
2.0,Fri,2019-08-02,20:00,Troyes,1–2,Clermont Foot,5628.0,Stade de l'Aube,Benjamin Lepaysant,Match Report,,20,F2
2.0,Fri,2019-08-02,20:00,Paris FC,1–1,Sochaux,2117.0,Stade Sébastien Charléty,Thierry Bouille,Match Report,,20,F2
2.0,Fri,2019-08-02,20:00,Grenoble,0–1,Ajaccio,5343.0,Stade des Alpes,Alexandre Perreau Niel,Match Report,,20,F2
2.0,Sat,2019-08-03,16:30,Lens,2–0,Guingamp,28671.0,Stade Bollaert-Delelis,Nicolas Rainville,Match Report,,20,F2
2.0,Mon,2019-08-05,20:45,Caen,1–2,Lorient,10191.0,Stade Michel d'Ornano,Sylvain Palhies,Match Report,,20,F2
,,,,,,,,,,,,20,F2
3.0,Fri,2019-08-09,20:00,Niort,3–0,Châteauroux,2874.0,Stade René Gaillard,Arnaud Baert,Match Report,,20,F2
3.0,Fri,2019-08-09,20:00,Guingamp,1–0,Orléans,8936.0,Stade du Roudourou,Stéphanie Frappart,Match Report,,20,F2
3.0,Fri,2019-08-09,20:00,Le Mans,1–2,Valenciennes,7724.0,MMArena,Romain Lissorgue,Match Report,,20,F2
3.0,Fri,2019-08-09,20:00,Chambly Oise,0–0,Grenoble,2920.0,Stade des Marais,Cédric Dos Santos,Match Report,,20,F2
3.0,Fri,2019-08-09,20:00,Sochaux,1–0,Auxerre,7268.0,Stade Auguste-Bonal,Gaël Angoula,Match Report,,20,F2
3.0,Fri,2019-08-09,20:00,Rodez Aveyron,2–1,Paris FC,2495.0,Stade Paul Lignon,Remi Landry,Match Report,,20,F2
3.0,Fri,2019-08-09,20:00,Ajaccio,1–2,Caen,3111.0,Stade François Coty,Benoît Bastien,Match Report,,20,F2
3.0,Fri,2019-08-09,20:00,Troyes,1–2,Le Havre,5302.0,Stade de l'Aube,Mehdi Mokhtari,Match Report,,20,F2
3.0,Fri,2019-08-09,20:00,Nancy,1–1,Lorient,11155.0,Stade Marcel Picot,Bastien Dechepy,Match Report,,20,F2
3.0,Sat,2019-08-10,15:00,Clermont Foot,1–1,Lens,6304.0,Stade Gabriel Montpied,Pierre Gaillouste,Match Report,,20,F2
,,,,,,,,,,,,20,F2
4.0,Fri,2019-08-16,20:00,Orléans,0–1,Clermont Foot,3549.0,Stade de la Source,Thierry Bouille,Match Report,,20,F2
4.0,Fri,2019-08-16,20:00,Lorient,1–0,Sochaux,8529.0,Stade Yves Allainmat - Le Moustoir,Pierre Gaillouste,Match Report,,20,F2
4.0,Fri,2019-08-16,20:00,Caen,0–0,Chambly Oise,9762.0,Stade Michel d'Ornano,Arnaud Baert,Match Report,,20,F2
4.0,Fri,2019-08-16,20:00,Valenciennes,1–0,Rodez Aveyron,5332.0,Stade du Hainaut,Alexandre Perreau Niel,Match Report,,20,F2
4.0,Fri,2019-08-16,20:00,Nancy,2–1,Le Mans,10093.0,Stade Marcel Picot,Mehdi Mokhtari,Match Report,,20,F2
4.0,Fri,2019-08-16,20:00,Grenoble,1–1,Troyes,4722.0,Stade des Alpes,Nicolas Rainville,Match Report,,20,F2
4.0,Fri,2019-08-16,20:00,Châteauroux,0–1,Ajaccio,2693.0,Stade Gaston Petit,Aurélien Petit,Match Report,,20,F2
4.0,Fri,2019-08-16,20:00,Paris FC,0–1,Niort,1541.0,Stade Sébastien Charléty,Benjamin Lepaysant,Match Report,,20,F2
4.0,Sat,2019-08-17,15:00,Lens,1–3,Le Havre,29706.0,Stade Bollaert-Delelis,Sylvain Palhies,Match Report,,20,F2
4.0,Mon,2019-08-19,20:45,Auxerre,2–2,Guingamp,7077.0,Stade de l'Abbé Deschamps,Jeremy Stinat,Match Report,,20,F2
,,,,,,,,,,,,20,F2
5.0,Fri,2019-08-23,20:00,Sochaux,3–0,Nancy,8524.0,Stade Auguste-Bonal,Willy Delajod,Match Report,,20,F2
5.0,Fri,2019-08-23,20:00,Rodez Aveyron,3–3,Orléans,2019.0,Stade Paul Lignon,Benjamin Lepaysant,Match Report,,20,F2
5.0,Fri,2019-08-23,20:00,Clermont Foot,1–1,Auxerre,4100.0,Stade Gabriel Montpied,Bastien Dechepy,Match Report,,20,F2
5.0,Fri,2019-08-23,20:00,Niort,1–1,Caen,3456.0,Stade René Gaillard,Olivier Thual,Match Report,,20,F2
5.0,Fri,2019-08-23,20:00,Le Havre,3–1,Grenoble,7810.0,Stade Océane,Arnaud Baert,Match Report,,20,F2
5.0,Fri,2019-08-23,20:00,Le Mans,1–2,Lorient,8060.0,MMArena,Remi Landry,Match Report,,20,F2
5.0,Fri,2019-08-23,20:00,Ajaccio,1–0,Paris FC,3175.0,Stade François Coty,Jérémie Pignard,Match Report,,20,F2
5.0,Fri,2019-08-23,20:00,Chambly Oise,0–0,Châteauroux,3103.0,Stade des Marais,Nicolas Rainville,Match Report,,20,F2
5.0,Sat,2019-08-24,15:00,Troyes,2–0,Lens,6492.0,Stade de l'Aube,Thomas Léonard,Match Report,,20,F2
5.0,Mon,2019-08-26,20:45,Guingamp,0–1,Valenciennes,9100.0,Stade du Roudourou,Cédric Dos Santos,Match Report,,20,F2
,,,,,,,,,,,,20,F2
6.0,Fri,2019-08-30,20:00,Auxerre,3–1,Ajaccio,5583.0,Stade de l'Abbé Deschamps,Sylvain Palhies,Match Report,,20,F2
6.0,Fri,2019-08-30,20:00,Le Mans,2–0,Sochaux,6357.0,MMArena,Benjamin Lepaysant,Match Report,,20,F2
6.0,Fri,2019-08-30,20:00,Nancy,1–1,Rodez Aveyron,10117.0,Stade Marcel Picot,Aurélien Petit,Match Report,,20,F2
6.0,Fri,2019-08-30,20:00,Orléans,0–1,Niort,3348.0,Stade de la Source,Pierre Gaillouste,Match Report,,20,F2
6.0,Fri,2019-08-30,20:00,Valenciennes,1–0,Clermont Foot,6843.0,Stade du Hainaut,Gaël Angoula,Match Report,,20,F2
6.0,Fri,2019-08-30,20:00,Caen,0–3,Le Havre,14578.0,Stade Michel d'Ornano,Thierry Bouille,Match Report,,20,F2
6.0,Fri,2019-08-30,20:00,Châteauroux,0–1,Troyes,2680.0,Stade Gaston Petit,Cédric Dos Santos,Match Report,,20,F2
6.0,Sat,2019-08-31,15:00,Lorient,0–1,Guingamp,13753.0,Stade Yves Allainmat - Le Moustoir,Mikael Lesage,Match Report,,20,F2
6.0,Mon,2019-09-02,19:00,Paris FC,0–3,Chambly Oise,1545.0,Stade Sébastien Charléty,Bartolomeu Varela,Match Report,,20,F2
6.0,Mon,2019-09-02,20:45,Grenoble,2–2,Lens,6651.0,Stade des Alpes,Romain Lissorgue,Match Report,,20,F2
,,,,,,,,,,,,20,F2
7.0,Fri,2019-09-13,20:00,Ajaccio,0–0,Orléans,2826.0,Stade François Coty,Hakim Ben El Hadj Salem,Match Report,,20,F2
7.0,Fri,2019-09-13,20:00,Le Havre,0–0,Paris FC,8594.0,Stade Océane,Mehdi Mokhtari,Match Report,,20,F2
7.0,Fri,2019-09-13,20:00,Guingamp,1–1,Nancy,7861.0,Stade du Roudourou,Nicolas Rainville,Match Report,,20,F2
7.0,Fri,2019-09-13,20:00,Troyes,2–1,Caen,5465.0,Stade de l'Aube,Bartolomeu Varela,Match Report,,20,F2
7.0,Fri,2019-09-13,20:00,Rodez Aveyron,4–1,Le Mans,1425.0,Stade Paul Lignon,Pierre Gaillouste,Match Report,,20,F2
