Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes,season,Div
1.0,Sat,2017-08-19,18:00,Juventus,1.1,3–0,1.4,Cagliari,39226.0,Allianz Stadium,Fabio Maresca,Match Report,,18,I1
1.0,Sat,2017-08-19,20:45,Hellas Verona,1.3,1–3,2.1,Napoli,15215.0,Stadio Marc'Antonio Bentegodi,Michael Fabbri,Match Report,,18,I1
1.0,Sun,2017-08-20,18:00,Atalanta,1.5,0–1,0.4,Roma,19108.0,Stadio Atleti Azzurri d'Italia,Piero Giacomelli,Match Report,,18,I1
1.0,Sun,2017-08-20,20:45,Udinese,0.8,1–2,0.5,Chievo,13000.0,Dacia Arena,Claudio Gavillucci,Match Report,,18,I1
1.0,Sun,2017-08-20,20:45,Inter,2.3,3–0,0.6,Fiorentina,51752.0,Stadio Giuseppe Meazza,Paolo Tagliavento,Match Report,,18,I1
1.0,Sun,2017-08-20,20:45,Bologna,0.6,1–1,0.4,Torino,19033.0,Stadio Renato Dall'Ara,Davide Massa,Match Report,,18,I1
1.0,Sun,2017-08-20,20:45,Sampdoria,2.7,2–1,0.9,Benevento,19223.0,Stadio Comunale Luigi Ferraris,Fabrizio Pasqua,Match Report,,18,I1
1.0,Sun,2017-08-20,20:45,Crotone,0.4,0–3,1.8,Milan,13478.0,Stadio Ezio Scida,Maurizio Mariani,Match Report,,18,I1
1.0,Sun,2017-08-20,20:45,Lazio,0.8,0–0,0.6,SPAL,25000.0,Stadio Olimpico,Rosario Abisso,Match Report,,18,I1
1.0,Sun,2017-08-20,20:45,Sassuolo,0.5,0–0,0.9,Genoa,8134.0,Stadio Città del Tricolore,Antonio Damato,Match Report,,18,I1
,,,,,,,,,,,,,,18,I1
2.0,Sat,2017-08-26,18:00,Genoa,1.2,2–4,2.1,Juventus,26296.0,Stadio Comunale Luigi Ferraris,Luca Banti,Match Report,,18,I1
2.0,Sat,2017-08-26,18:00,Benevento,0.9,0–1,1.7,Bologna,11054.0,Stadio Ciro Vigorito,Giampaolo Calvarese,Match Report,,18,I1
2.0,Sat,2017-08-26,20:45,Roma,1.4,1–3,2.4,Inter,49388.0,Stadio Olimpico,Massimiliano Irrati,Match Report,,18,I1
2.0,Sun,2017-08-27,18:00,Torino,1.1,3–0,0.8,Sassuolo,18289.0,Stadio Olimpico di Torino,Paolo Mazzoleni,Match Report,,18,I1
2.0,Sun,2017-08-27,20:45,SPAL,1.5,3–2,1.2,Udinese,11000.0,Stadio Paolo Mazza,Paolo Valeri,Match Report,,18,I1
2.0,Sun,2017-08-27,20:45,Napoli,1.2,3–1,0.9,Atalanta,35102.0,Stadio San Paolo,Marco Di Bello,Match Report,,18,I1
2.0,Sun,2017-08-27,20:45,Crotone,0.8,0–0,0.2,Hellas Verona,9158.0,Stadio Ezio Scida,Marco Guida,Match Report,,18,I1
2.0,Sun,2017-08-27,20:45,Milan,1.4,2–1,0.7,Cagliari,49525.0,Stadio Giuseppe Meazza,Luca Pairetto,Match Report,,18,I1
2.0,Sun,2017-08-27,20:45,Fiorentina,2.0,1–2,2.2,Sampdoria,25611.0,Stadio Artemio Franchi,Daniele Doveri,Match Report,,18,I1
2.0,Sun,2017-08-27,20:45,Chievo,0.9,1–2,1.5,Lazio,10000.0,Stadio Marc'Antonio Bentegodi,Gianluca Manganiello,Match Report,,18,I1
,,,,,,,,,,,,,,18,I1
3.0,Sat,2017-09-09,18:00,Juventus,1.3,3–0,0.6,Chievo,39457.0,Allianz Stadium,Michael Fabbri,Match Report,,18,I1
3.0,Sun,2017-09-10,12:30,Inter,1.9,2–0,0.5,SPAL,57235.0,Stadio Giuseppe Meazza,Claudio Gavillucci,Match Report,,18,I1
3.0,Sun,2017-09-10,15:00,Udinese,1.0,1–0,0.6,Genoa,2370.0,Dacia Arena,Fabio Maresca,Match Report,,18,I1
3.0,Sun,2017-09-10,15:00,Cagliari,1.2,1–0,0.4,Crotone,14076.0,Stadio Sant'Elia,Daniele Doveri,Match Report,,18,I1
3.0,Sun,2017-09-10,15:00,Atalanta,0.7,2–1,1.4,Sassuolo,16120.0,Stadio Atleti Azzurri d'Italia,Gianluca Manganiello,Match Report,,18,I1
3.0,Sun,2017-09-10,15:00,Hellas Verona,1.1,0–5,2.6,Fiorentina,18181.0,Stadio Marc'Antonio Bentegodi,Antonio Damato,Match Report,,18,I1
3.0,Sun,2017-09-10,16:00,Lazio,2.0,4–1,1.0,Milan,30000.0,Stadio Olimpico,Gianluca Rocchi,Match Report,,18,I1
3.0,Sun,2017-09-10,18:00,Benevento,0.9,0–1,1.0,Torino,11416.0,Stadio Ciro Vigorito,Rosario Abisso,Match Report,,18,I1
3.0,Sun,2017-09-10,20:45,Bologna,0.3,0–3,1.5,Napoli,22398.0,Stadio Renato Dall'Ara,Piero Giacomelli,Match Report,,18,I1
,,,,,,,,,,,,,,18,I1
4.0,Sat,2017-09-16,15:00,Crotone,1.0,0–2,0.7,Inter,13422.0,Stadio Ezio Scida,Luca Banti,Match Report,,18,I1
4.0,Sat,2017-09-16,18:00,Fiorentina,0.7,2–1,0.3,Bologna,23802.0,Stadio Artemio Franchi,Paolo Valeri,Match Report,,18,I1
4.0,Sat,2017-09-16,20:45,Roma,3.5,3–0,0.2,Hellas Verona,29045.0,Stadio Olimpico,Luca Pairetto,Match Report,,18,I1
4.0,Sun,2017-09-17,12:30,Sassuolo,1.4,1–3,1.0,Juventus,21584.0,Stadio Città del Tricolore,Davide Massa,Match Report,,18,I1
4.0,Sun,2017-09-17,15:00,SPAL,0.6,0–2,0.6,Cagliari,10979.0,Stadio Paolo Mazza,Eugenio Abbattista,Match Report,,18,I1
4.0,Sun,2017-09-17,15:00,Torino,1.3,2–2,1.0,Sampdoria,19879.0,Stadio Olimpico di Torino,Paolo Tagliavento,Match Report,,18,I1
4.0,Sun,2017-09-17,15:00,Milan,2.7,2–1,0.3,Udinese,49473.0,Stadio Giuseppe Meazza,Marco Guida,Match Report,,18,I1
4.0,Sun,2017-09-17,15:00,Napoli,4.8,6–0,0.2,Benevento,49137.0,Stadio San Paolo,Massimiliano Irrati,Match Report,,18,I1
4.0,Sun,2017-09-17,18:00,Chievo,1.2,1–1,1.5,Atalanta,10000.0,Stadio Marc'Antonio Bentegodi,Maurizio Mariani,Match Report,,18,I1
4.0,Sun,2017-09-17,20:45,Genoa,0.5,2–3,2.9,Lazio,19065.0,Stadio Comunale Luigi Ferraris,Daniele Orsato,Match Report,,18,I1
,,,,,,,,,,,,,,18,I1
5.0,Tue,2017-09-19,20:45,Bologna,0.8,1–1,1.2,Inter,26067.0,Stadio Renato Dall'Ara,Marco Di Bello,Match Report,,18,I1
5.0,Wed,2017-09-20,18:00,Benevento,0.8,0–4,2.0,Roma,14839.0,Stadio Ciro Vigorito,Michael Fabbri,Match Report,,18,I1
5.0,Wed,2017-09-20,20:45,Hellas Verona,0.8,0–0,1.5,Sampdoria,14690.0,Stadio Marc'Antonio Bentegodi,Gianluca Manganiello,Match Report,,18,I1
5.0,Wed,2017-09-20,20:45,Udinese,2.4,2–3,1.4,Torino,14793.0,Dacia Arena,Gianluca Rocchi,Match Report,,18,I1
5.0,Wed,2017-09-20,20:45,Lazio,0.2,1–4,2.5,Napoli,28000.0,Stadio Olimpico,Antonio Damato,Match Report,,18,I1
5.0,Wed,2017-09-20,20:45,Milan,2.2,2–0,0.3,SPAL,45343.0,Stadio Giuseppe Meazza,Rosario Abisso,Match Report,,18,I1
5.0,Wed,2017-09-20,20:45,Atalanta,2.8,5–1,0.4,Crotone,16378.0,Stadio Atleti Azzurri d'Italia,Marco Piccinini,Match Report,,18,I1
5.0,Wed,2017-09-20,20:45,Juventus,0.9,1–0,0.4,Fiorentina,35652.0,Allianz Stadium,Daniele Doveri,Match Report,,18,I1
5.0,Wed,2017-09-20,20:45,Cagliari,2.4,0–1,2.6,Sassuolo,13898.0,Stadio Sant'Elia,Claudio Gavillucci,Match Report,,18,I1
5.0,Wed,2017-09-20,20:45,Genoa,0.8,1–1,1.7,Chievo,18376.0,Stadio Comunale Luigi Ferraris,Paolo Mazzoleni,Match Report,,18,I1
,,,,,,,,,,,,,,18,I1
6.0,Sat,2017-09-23,15:00,Roma,2.9,3–1,1.4,Udinese,32457.0,Stadio Olimpico,Davide Massa,Match Report,,18,I1
