Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes,season,Div
Regular season,1.0,Fri,2017-08-11,19:00,ADO Den Haag,0–3,Utrecht,12134.0,Cars Jeans Stadion,Ed Janssen,Match Report,,18,N1
Regular season,1.0,Sat,2017-08-12,18:30,PSV Eindhoven,3–2,AZ Alkmaar,32700.0,Philips Stadion,Björn Kuipers,Match Report,,18,N1
Regular season,1.0,Sat,2017-08-12,18:30,VVV-Venlo,3–0,Sparta R'dam,5832.0,Seacon Stadion De Koel,Jochem Kamphuis,Match Report,,18,N1
Regular season,1.0,Sat,2017-08-12,20:45,Heracles Almelo,2–1,Ajax,12080.0,Polman Stadion,Kevin Blom,Match Report,,18,N1
Regular season,1.0,Sat,2017-08-12,20:45,Vitesse,4–1,NAC Breda,13921.0,GelreDome,Siemen Mulder,Match Report,,18,N1
Regular season,1.0,Sun,2017-08-13,12:30,Zwolle,4–2,Roda JC,13000.0,MAC³PARK Stadion,Bas Nijhuis,Match Report,,18,N1
Regular season,1.0,Sun,2017-08-13,14:30,Feyenoord,2–1,Twente,47500.0,Stadion Feijenoord,Serdar Gözübüyük,Match Report,,18,N1
Regular season,1.0,Sun,2017-08-13,14:30,Willem II,1–2,Excelsior,12800.0,Koning Willem II Stadion,Jeroen Manschot,Match Report,,18,N1
Regular season,1.0,Sun,2017-08-13,16:45,Groningen,3–3,Heerenveen,19255.0,Hitachi Capital Mobility Stadion,Pol van Boekel,Match Report,,18,N1
,,,,,,,,,,,,,18,N1
Regular season,2.0,Fri,2017-08-18,20:00,Roda JC,1–3,Vitesse,12004.0,Parkstad Limburg Stadion,Jochem Kamphuis,Match Report,,18,N1
Regular season,2.0,Sat,2017-08-19,18:30,Twente,1–2,VVV-Venlo,23800.0,De Grolsch Veste,Siemen Mulder,Match Report,,18,N1
Regular season,2.0,Sat,2017-08-19,19:45,AZ Alkmaar,2–0,ADO Den Haag,12749.0,AFAS Stadion,Danny Makkelie,Match Report,,18,N1
Regular season,2.0,Sat,2017-08-19,20:45,Heerenveen,1–1,Heracles Almelo,23500.0,Abe Lenstra Stadion,Edwin van de Graaf,Match Report,,18,N1
Regular season,2.0,Sun,2017-08-20,12:30,Excelsior,0–1,Feyenoord,4400.0,Van Donge & De Roo Stadion,Björn Kuipers,Match Report,,18,N1
Regular season,2.0,Sun,2017-08-20,14:30,Ajax,3–1,Groningen,51152.0,Johan Cruyff ArenA,Dennis Higler,Match Report,,18,N1
Regular season,2.0,Sun,2017-08-20,14:30,Utrecht,2–0,Willem II,16093.0,Stadion Galgenwaard,Serdar Gözübüyük,Match Report,,18,N1
Regular season,2.0,Sun,2017-08-20,16:45,NAC Breda,1–4,PSV Eindhoven,18788.0,Rat Verlegh Stadion,Pol van Boekel,Match Report,,18,N1
Regular season,2.0,Sun,2017-08-20,16:45,Sparta R'dam,1–1,Zwolle,10012.0,Sparta-Stadion Het Kasteel,Allard Lindhout,Match Report,,18,N1
,,,,,,,,,,,,,18,N1
Regular season,3.0,Fri,2017-08-25,20:00,NAC Breda,2–2,Sparta R'dam,17912.0,Rat Verlegh Stadion,Dennis Higler,Match Report,,18,N1
Regular season,3.0,Sat,2017-08-26,18:30,Vitesse,1–2,AZ Alkmaar,14500.0,GelreDome,Kevin Blom,Match Report,,18,N1
Regular season,3.0,Sat,2017-08-26,19:45,Zwolle,2–0,Twente,12800.0,MAC³PARK Stadion,Ed Janssen,Match Report,,18,N1
Regular season,3.0,Sat,2017-08-26,19:45,ADO Den Haag,1–2,Heerenveen,7902.0,Cars Jeans Stadion,Jochem Kamphuis,Match Report,,18,N1
Regular season,3.0,Sat,2017-08-26,20:45,Heracles Almelo,2–2,Excelsior,10067.0,Polman Stadion,Martin van den Kerkhof,Match Report,,18,N1
Regular season,3.0,Sun,2017-08-27,12:30,Feyenoord,5–0,Willem II,47500.0,Stadion Feijenoord,Bas Nijhuis,Match Report,,18,N1
Regular season,3.0,Sun,2017-08-27,14:30,VVV-Venlo,0–2,Ajax,8000.0,Seacon Stadion De Koel,Björn Kuipers,Match Report,,18,N1
Regular season,3.0,Sun,2017-08-27,16:45,Groningen,2–1,Utrecht,16032.0,Hitachi Capital Mobility Stadion,Jeroen Manschot,Match Report,,18,N1
Regular season,3.0,Sun,2017-08-27,16:45,PSV Eindhoven,2–0,Roda JC,32200.0,Philips Stadion,Danny Makkelie,Match Report,,18,N1
,,,,,,,,,,,,,18,N1
