Round,Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes,season,Div
Regular season,1.0,Fri,2018-08-10,20:00,Zwolle,4.3,2–3,0.6,Heerenveen,14000.0,MAC³PARK Stadion,Dennis Higler,Match Report,,19,N1
Regular season,1.0,Sat,2018-08-11,18:30,Ajax,1.7,1–1,0.8,Heracles Almelo,51949.0,Johan Cruyff ArenA,Serdar Gözübüyük,Match Report,,19,N1
Regular season,1.0,Sat,2018-08-11,18:30,Willem II,0.8,0–1,0.3,VVV-Venlo,11800.0,Koning Willem II Stadion,Rob Dieperink,Match Report,,19,N1
Regular season,1.0,Sat,2018-08-11,20:45,Excelsior,1.3,1–1,0.9,Fortuna Sittard,4400.0,Van Donge & De Roo Stadion,Siemen Mulder,Match Report,,19,N1
Regular season,1.0,Sat,2018-08-11,20:45,PSV Eindhoven,1.9,4–0,0.4,Utrecht,33100.0,Philips Stadion,Bas Nijhuis,Match Report,,19,N1
Regular season,1.0,Sun,2018-08-12,12:15,ADO Den Haag,2.2,1–2,1.5,Emmen,11324.0,Cars Jeans Stadion,Richard Martens,Match Report,,19,N1
Regular season,1.0,Sun,2018-08-12,14:30,De Graafschap,1.7,2–0,2.1,Feyenoord,12600.0,Stadion De Vijverberg,Pol van Boekel,Match Report,,19,N1
Regular season,1.0,Sun,2018-08-12,14:30,Vitesse,1.1,5–1,1.4,Groningen,13434.0,GelreDome,Allard Lindhout,Match Report,,19,N1
Regular season,1.0,Sun,2018-08-12,16:45,AZ Alkmaar,3.5,5–0,0.4,NAC Breda,14299.0,AFAS Stadion,Danny Makkelie,Match Report,,19,N1
,,,,,,,,,,,,,,,19,N1
Regular season,2.0,Fri,2018-08-17,20:00,Groningen,1.1,0–1,0.4,Willem II,16500.0,Hitachi Capital Mobility Stadion,Jeroen Manschot,Match Report,,19,N1
Regular season,2.0,Sat,2018-08-18,18:30,NAC Breda,1.3,3–0,0.3,De Graafschap,18710.0,Rat Verlegh Stadion,Serdar Gözübüyük,Match Report,,19,N1
Regular season,2.0,Sat,2018-08-18,18:30,VVV-Venlo,0.5,0–1,2.9,Ajax,8000.0,Seacon Stadion De Koel,Kevin Blom,Match Report,,19,N1
Regular season,2.0,Sat,2018-08-18,20:45,Heracles Almelo,2.9,4–2,2.3,ADO Den Haag,10414.0,Polman Stadion,Joey Kooij,Match Report,,19,N1
Regular season,2.0,Sat,2018-08-18,20:45,Fortuna Sittard,1.0,1–2,3.1,PSV Eindhoven,11135.0,Fortuna Sittard Stadion,Pol van Boekel,Match Report,,19,N1
