Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes,season,Div
1.0,Fri,2019-08-02,20:00,Zwolle,0.6,1–3,1.4,Willem II,13824.0,MAC³PARK Stadion,Jeroen Manschot,Match Report,,20,N1
1.0,Sat,2019-08-03,18:30,Vitesse,0.6,2–2,3.5,Ajax,18100.0,GelreDome,Bas Nijhuis,Match Report,,20,N1
1.0,Sat,2019-08-03,18:30,Emmen,0.7,0–1,2.0,Groningen,8245.0,De Oude Meerdijk,Pol van Boekel,Match Report,,20,N1
1.0,Sat,2019-08-03,20:45,VVV-Venlo,1.8,3–1,1.2,RKC Waalwijk,5560.0,Seacon Stadion De Koel,Joey Kooij,Match Report,,20,N1
1.0,Sat,2019-08-03,20:45,Twente,0.2,1–1,1.1,PSV Eindhoven,27200.0,De Grolsch Veste,Serdar Gözübüyük,Match Report,,20,N1
1.0,Sun,2019-08-04,12:15,Heracles Almelo,1.0,0–4,1.2,Heerenveen,9640.0,Erve Asito,Richard Martens,Match Report,,20,N1
1.0,Sun,2019-08-04,14:30,Feyenoord,2.2,2–2,1.1,Sparta R'dam,41000.0,Stadion Feijenoord,Danny Makkelie,Match Report,,20,N1
1.0,Sun,2019-08-04,16:45,ADO Den Haag,0.9,2–4,2.5,Utrecht,10633.0,Cars Jeans Stadion,Kevin Blom,Match Report,,20,N1
1.0,Sun,2019-08-04,20:00,AZ Alkmaar,2.3,4–0,0.3,Fortuna Sittard,13500.0,AFAS Stadion,Dennis Higler,Match Report,,20,N1
,,,,,,,,,,,,,,20,N1
2.0,Fri,2019-08-09,20:00,Sparta R'dam,2.6,4–1,0.3,VVV-Venlo,10012.0,Sparta-Stadion Het Kasteel,Bas Nijhuis,Match Report,,20,N1
2.0,Sat,2019-08-10,18:30,Groningen,1.4,1–3,2.4,Twente,19049.0,Hitachi Capital Mobility Stadion,Christiaan Bax,Match Report,,20,N1
2.0,Sat,2019-08-10,19:45,Ajax,4.7,5–0,0.3,Emmen,53124.0,Johan Cruyff ArenA,Serdar Gözübüyük,Match Report,,20,N1
2.0,Sat,2019-08-10,20:45,Willem II,0.4,0–2,1.8,Vitesse,12825.0,Koning Willem II Stadion,Siemen Mulder,Match Report,,20,N1
