Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes,season,Div
1.0,Sun,2017-08-06,18:00,Aves,0–2,Sporting CP,5462.0,Estádio Clube Desportivo das Aves,Tiago Martins,Match Report,,18,P1
1.0,Sun,2017-08-06,20:15,Vitória Setúbal,1–1,Moreirense,1736.0,Estádio Dom Afonso Henriques,Gonçalo Martins,Match Report,,18,P1
1.0,Mon,2017-08-07,17:00,Portimonense,2–1,Boavista,2970.0,Estádio do Portimonense SC,Nuno Almeida,Match Report,,18,P1
1.0,Mon,2017-08-07,19:00,Feirense,1–1,Tondela,3277.0,Estádio Marcolino de Castro,Bruno Duarte Paixão,Match Report,,18,P1
1.0,Mon,2017-08-07,21:00,Rio Ave,1–0,Belenenses,2539.0,Estádio do Rio Ave Futebol Clube,Fábio Costa,Match Report,,18,P1
1.0,Tue,2017-08-08,16:00,Marítimo,1–0,Paços,9237.0,Estádio dos Barreiros,Manuel Oliveira,Match Report,,18,P1
1.0,Wed,2017-08-09,19:00,Porto,4–0,Estoril,48011.0,Estádio Do Dragão,Hugo Miguel,Match Report,,18,P1
1.0,Wed,2017-08-09,21:00,Benfica,3–1,Braga,58826.0,Estádio do Sport Lisboa e Benfica,Carlos Taborda Xistra,Match Report,,18,P1
1.0,Thu,2017-08-10,21:00,Vitória,3–2,Chaves,19753.0,Estádio do Bonfim,Luís Godinho,Match Report,,18,P1
,,,,,,,,,,,,18,P1
2.0,Fri,2017-08-11,20:30,Sporting CP,1–0,Vitória Setúbal,42415.0,Estádio José Alvalade,Bruno Duarte Paixão,Match Report,,18,P1
2.0,Sat,2017-08-12,16:00,Moreirense,0–0,Feirense,1264.0,P.D. Comendador Joaquim de Almeida Freit...,Nuno Almeida,Match Report,,18,P1
2.0,Sat,2017-08-12,18:15,Belenenses,1–0,Marítimo,2153.0,Estádio do Restelo,João Pedro Pinheiro,Match Report,,18,P1
2.0,Sat,2017-08-12,20:30,Boavista,1–2,Rio Ave,4053.0,Estádio do Bessa Século XXI,Luís Ferreira,Match Report,,18,P1
2.0,Sun,2017-08-13,16:00,Paços,2–2,Aves,2540.0,Estádio da Capital do Móvel,Rui Oliveira,Match Report,,18,P1
2.0,Sun,2017-08-13,18:00,Braga,2–1,Portimonense,10421.0,Estádio Municipal de Bragança,João Santos Capela,Match Report,,18,P1
2.0,Sun,2017-08-13,20:15,Tondela,0–1,Porto,1473.0,Estádio João Cardoso,Fábio Costa,Match Report,,18,P1
