Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes,season,Div
1.0,Fri,2018-08-10,20:30,Benfica,1.9,3–2,1.0,Vitória,55219.0,Estádio do Sport Lisboa e Benfica,João Pinheiro,Match Report,,19,P1
1.0,Sat,2018-08-11,16:30,Vitória Setúbal,1.8,2–0,0.3,Aves,5182.0,Estádio do Bonfim,Hélder Malheiro,Match Report,,19,P1
1.0,Sat,2018-08-11,19:00,Tondela,1.3,0–1,0.5,B-SAD,2010.0,Estádio João Cardoso,Luís Godinho,Match Report,,19,P1
1.0,Sat,2018-08-11,21:00,Porto,4.5,5–0,0.1,Chaves,46509.0,Estádio Do Dragão,Nuno Almeida,Match Report,,19,P1
1.0,Sun,2018-08-12,16:00,Marítimo,2.2,1–0,0.8,Santa Clara,5893.0,Estádio dos Barreiros,Anzhony Rodrigues,Match Report,,19,P1
1.0,Sun,2018-08-12,16:00,Feirense,1.2,2–0,0.4,Rio Ave,2646.0,Estádio Marcolino de Castro,António Nobre,Match Report,,19,P1
1.0,Sun,2018-08-12,18:30,Moreirense,0.7,1–3,2.6,Sporting CP,4886.0,P.D. Comendador Joaquim de Almeida Freit...,Tiago Martins,Match Report,,19,P1
1.0,Sun,2018-08-12,20:30,Braga,2.3,4–2,1.3,Nacional,12387.0,Estádio Municipal de Braga,Carlos Xistra,Match Report,,19,P1
1.0,Mon,2018-08-13,20:15,Portimonense,1.3,0–2,0.8,Boavista,3990.0,Estádio do Portimonense SC,João Santos Capela,Match Report,,19,P1
,,,,,,,,,,,,,,19,P1
2.0,Fri,2018-08-17,20:30,Aves,2.4,2–2,0.9,Tondela,1872.0,Estádio Clube Desportivo das Aves,Artur Soares Dias,Match Report,,19,P1
2.0,Sat,2018-08-18,16:30,Chaves,1.3,2–0,0.3,Portimonense,5240.0,Estádio Municipal Eng. Manuel Branco Tei...,André Narciso,Match Report,,19,P1
2.0,Sat,2018-08-18,19:00,Boavista,0.4,0–2,1.3,Benfica,15189.0,Estádio do Bessa Século XXI,Manuel Mota,Match Report,,19,P1
2.0,Sat,2018-08-18,21:00,Sporting CP,1.3,2–1,0.9,Vitória Setúbal,40611.0,Estádio José Alvalade,Manuel Oliveira,Match Report,,19,P1
2.0,Sun,2018-08-19,16:00,Rio Ave,2.2,3–1,1.8,Marítimo,12234.0,Estádio do Rio Ave Futebol Clube,Vitor Ferreira Fernandes,Match Report,,19,P1
2.0,Sun,2018-08-19,16:00,Nacional,2.7,1–2,1.9,Moreirense,2491.0,Estádio da Madeira,António Nobre,Match Report,,19,P1
2.0,Sun,2018-08-19,18:30,B-SAD,1.8,2–3,1.7,Porto,10901.0,Estádio Nacional,Carlos Xistra,Match Report,,19,P1
2.0,Sun,2018-08-19,19:30,Santa Clara,1.0,3–3,0.6,Braga,3915.0,Estádio de São Miguel,Rui Oliveira,Match Report,,19,P1
2.0,Mon,2018-08-20,20:15,Vitória,0.4,0–1,0.3,Feirense,1872.0,Estádio Dom Afonso Henriques,Hugo Miguel,Match Report,,19,P1
,,,,,,,,,,,,,,19,P1
3.0,Fri,2018-08-24,20:30,Marítimo,1.0,2–1,0.4,Chaves,5398.0,Estádio dos Barreiros,Tiago Martins,Match Report,,19,P1
3.0,Sat,2018-08-25,16:30,Portimonense,2.2,2–2,0.5,Santa Clara,2185.0,Estádio do Portimonense SC,João Pinheiro,Match Report,,19,P1
3.0,Sat,2018-08-25,19:00,Benfica,1.5,1–1,1.3,Sporting CP,60486.0,Estádio do Sport Lisboa e Benfica,Luís Godinho,Match Report,,19,P1
3.0,Sat,2018-08-25,21:00,Porto,1.3,2–3,1.1,Vitória,47008.0,Estádio Do Dragão,Fábio Costa,Match Report,,19,P1
