Round,Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes,season,Div
Regular season,1.0,Fri,2021-08-06,20:15,Sporting CP,2.4,3–0,0.3,Vizela,9066.0,Estádio José Alvalade,António Nobre,Match Report,,22,P1
Regular season,1.0,Sat,2021-08-07,12:45,Arouca,1.0,0–2,1.8,Estoril,513.0,Estádio Municipal de Arouca,Hugo Coelho,Match Report,,22,P1
Regular season,1.0,Sat,2021-08-07,18:00,Moreirense,1.7,1–2,1.4,Benfica,1498.0,P.D. Comendador Joaquim de Almeida Freit...,Vitor Ferreira Fernandes,Match Report,,22,P1
Regular season,1.0,Sat,2021-08-07,20:30,Marítimo,0.2,0–2,1.1,Braga,1782.0,Estádio dos Barreiros,André Narciso,Match Report,,22,P1
Regular season,1.0,Sun,2021-08-08,15:30,Tondela,1.7,3–0,1.5,Santa Clara,764.0,Estádio João Cardoso,João Ferreira,Match Report,,22,P1
Regular season,1.0,Sun,2021-08-08,15:30,Vitória,2.0,0–1,0.9,Portimonense,8224.0,Estádio Dom Afonso Henriques,Fábio Oliveira Melo,Match Report,,22,P1
Regular season,1.0,Sun,2021-08-08,18:00,Porto,2.1,2–0,0.9,B-SAD,15429.0,Estádio Do Dragão,Gustavo Correia,Match Report,,22,P1
Regular season,1.0,Sun,2021-08-08,20:30,Paços,3.2,2–0,1.1,Famalicão,1743.0,Estádio da Capital do Móvel,Miguel Nogueira,Match Report,,22,P1
Regular season,1.0,Mon,2021-08-09,20:15,Gil Vicente FC,1.2,3–0,0.8,Boavista,2014.0,Estádio Cidade de Barcelos,Cláudio Ruivo Pereira,Match Report,,22,P1
,,,,,,,,,,,,,,,22,P1
Regular season,2.0,Fri,2021-08-13,20:15,Estoril,1.1,0–0,0.8,Vitória,876.0,Estádio António Coimbra da Mota,João Ferreira,Match Report,,22,P1
Regular season,2.0,Sat,2021-08-14,15:30,Vizela,2.2,2–1,1.2,Tondela,613.0,Estádio Do Vizela,Manuel Oliveira,Match Report,,22,P1
Regular season,2.0,Sat,2021-08-14,18:00,Benfica,4.0,2–0,0.3,Arouca,13973.0,Estádio do Sport Lisboa e Benfica,Manuel Mota,Match Report,,22,P1
Regular season,2.0,Sat,2021-08-14,20:30,Braga,1.5,1–2,0.8,Sporting CP,7009.0,Estádio Municipal de Braga,Luís Godinho,Match Report,,22,P1
Regular season,2.0,Sun,2021-08-15,15:30,Portimonense,1.6,0–1,0.5,Gil Vicente FC,717.0,Estádio do Portimonense SC,Rui Costa,Match Report,,22,P1
Regular season,2.0,Sun,2021-08-15,18:00,Famalicão,0.7,1–2,1.5,Porto,1388.0,Estádio Municipal 22 de Junho,Nuno Almeida,Match Report,,22,P1
Regular season,2.0,Sun,2021-08-15,19:30,Santa Clara,1.8,2–2,1.2,Moreirense,876.0,Estádio de São Miguel,David Silva,Match Report,,22,P1
Regular season,2.0,Mon,2021-08-16,19:00,Boavista,1.5,3–0,1.2,Paços,2842.0,Estádio do Bessa Século XXI,António Nobre,Match Report,,22,P1
Regular season,2.0,Mon,2021-08-16,21:15,B-SAD,0.3,1–2,1.1,Marítimo,653.0,Estádio Dr. Magalhães Pessoa,Cláudio Ruivo Pereira,Match Report,,22,P1
,,,,,,,,,,,,,,,22,P1
Regular season,3.0,Fri,2021-08-20,19:00,Arouca,2.1,2–1,1.1,Famalicão,648.0,Estádio Municipal de Arouca,David Silva,Match Report,,22,P1
Regular season,3.0,Fri,2021-08-20,21:15,Moreirense,2.4,2–3,2.2,Braga,861.0,P.D. Comendador Joaquim de Almeida Freit...,Hélder Malheiro,Match Report,,22,P1
Regular season,3.0,Sat,2021-08-21,18:00,Gil Vicente FC,0.4,0–2,2.4,Benfica,3751.0,Estádio Cidade de Barcelos,Nuno Almeida,Match Report,,22,P1
Regular season,3.0,Sat,2021-08-21,20:30,Sporting CP,3.4,2–0,0.1,B-SAD,13135.0,Estádio José Alvalade,Manuel Oliveira,Match Report,,22,P1
Regular season,3.0,Sun,2021-08-22,15:30,Tondela,0.6,0–3,1.2,Portimonense,906.0,Estádio João Cardoso,Luís Godinho,Match Report,,22,P1
Regular season,3.0,Sun,2021-08-22,18:00,Marítimo,0.6,1–1,1.9,Porto,3591.0,Estádio dos Barreiros,João Pinheiro,Match Report,,22,P1
Regular season,3.0,Sun,2021-08-22,20:30,Vitória,3.1,4–0,0.6,Vizela,8935.0,Estádio Dom Afonso Henriques,Hugo Miguel,Match Report,,22,P1
Regular season,3.0,Mon,2021-08-23,19:00,Paços,0.7,1–3,1.9,Estoril,1569.0,Estádio da Capital do Móvel,Fábio Veríssimo,Match Report,,22,P1
Regular season,3.0,Mon,2021-08-23,21:15,Boavista,1.0,2–0,1.4,Santa Clara,2799.0,Estádio do Bessa Século XXI,Tiago Martins,Match Report,,22,P1
,,,,,,,,,,,,,,,22,P1
Regular season,4.0,Fri,2021-08-27,19:00,B-SAD,0.5,1–1,2.7,Moreirense,573.0,Estádio Dr. Magalhães Pessoa,Fábio Oliveira Melo,Match Report,,22,P1
Regular season,4.0,Fri,2021-08-27,21:15,Estoril,1.9,2–1,0.3,Marítimo,687.0,Estádio António Coimbra da Mota,António Nobre,Match Report,,22,P1
Regular season,4.0,Sat,2021-08-28,15:30,Vizela,1.3,1–1,0.8,Boavista,1243.0,Estádio Do Vizela,Rui Costa,Match Report,,22,P1
Regular season,4.0,Sat,2021-08-28,18:00,Porto,2.8,3–0,0.3,Arouca,12588.0,Estádio Do Dragão,Hélder Malheiro,Match Report,,22,P1
Regular season,4.0,Sat,2021-08-28,20:30,Famalicão,1.8,1–1,1.4,Sporting CP,12588.0,Estádio Municipal 22 de Junho,Fábio Veríssimo,Match Report,,22,P1
Regular season,4.0,Sun,2021-08-29,18:00,Benfica,1.7,2–1,0.2,Tondela,19425.0,Estádio do Sport Lisboa e Benfica,Tiago Martins,Match Report,,22,P1
Regular season,4.0,Sun,2021-08-29,18:00,Braga,1.4,0–0,1.0,Vitória,7590.0,Estádio Municipal de Braga,Nuno Almeida,Match Report,,22,P1
Regular season,4.0,Sun,2021-08-29,19:30,Santa Clara,1.1,1–0,0.4,Gil Vicente FC,588.0,Estádio de São Miguel,Hugo Coelho,Match Report,,22,P1
Regular season,4.0,Sun,2021-08-29,20:30,Portimonense,1.5,0–1,0.8,Paços,1098.0,Estádio do Portimonense SC,João Pinheiro,Match Report,,22,P1
,,,,,,,,,,,,,,,22,P1
Regular season,5.0,Sat,2021-09-11,15:30,Paços,0.8,0–0,0.8,Braga,1569.0,Estádio da Capital do Móvel,Willy Delajod,Match Report,,22,P1
Regular season,5.0,Sat,2021-09-11,17:00,Santa Clara,0.8,0–5,1.0,Benfica,3326.0,Estádio de São Miguel,Rui Costa,Match Report,,22,P1
Regular season,5.0,Sat,2021-09-11,20:30,Sporting CP,1.2,1–1,0.4,Porto,18723.0,Estádio José Alvalade,Nuno Almeida,Match Report,,22,P1
Regular season,5.0,Sun,2021-09-12,15:30,Moreirense,1.5,2–2,1.8,Famalicão,1331.0,P.D. Comendador Joaquim de Almeida Freit...,Manuel Mota,Match Report,,22,P1
Regular season,5.0,Sun,2021-09-12,18:00,Gil Vicente FC,1.4,2–2,2.7,Vizela,2104.0,Estádio Cidade de Barcelos,Fábio Veríssimo,Match Report,,22,P1
Regular season,5.0,Sun,2021-09-12,18:00,Boavista,0.8,1–1,0.8,Portimonense,2416.0,Estádio do Bessa Século XXI,André Narciso,Match Report,,22,P1
Regular season,5.0,Sun,2021-09-12,20:30,Vitória,0.7,0–0,1.2,B-SAD,10462.0,Estádio Dom Afonso Henriques,Hélder Malheiro,Match Report,,22,P1
Regular season,5.0,Mon,2021-09-13,19:00,Marítimo,2.6,2–2,1.4,Arouca,2056.0,Estádio dos Barreiros,Manuel Oliveira,Match Report,,22,P1
Regular season,5.0,Mon,2021-09-13,21:15,Tondela,1.5,1–2,0.7,Estoril,477.0,Estádio João Cardoso,Cláudio Ruivo Pereira,Match Report,,22,P1
,,,,,,,,,,,,,,,22,P1
Regular season,6.0,Fri,2021-09-17,20:15,Portimonense,0.8,2–1,1.5,Santa Clara,942.0,Estádio do Portimonense SC,Luís Godinho,Match Report,,22,P1
Regular season,6.0,Sat,2021-09-18,15:30,Famalicão,2.7,0–0,0.3,Marítimo,2014.0,Estádio Municipal 22 de Junho,Vitor Ferreira Fernandes,Match Report,,22,P1
Regular season,6.0,Sat,2021-09-18,18:00,B-SAD,0.6,1–1,0.8,Gil Vicente FC,673.0,Estádio Dr. Magalhães Pessoa,Miguel Nogueira,Match Report,,22,P1
Regular season,6.0,Sat,2021-09-18,20:30,Arouca,0.9,2–2,1.8,Vitória,1589.0,Estádio Municipal de Arouca,Nuno Almeida,Match Report,,22,P1
Regular season,6.0,Sun,2021-09-19,15:30,Vizela,2.5,1–1,1.1,Paços,2957.0,Estádio Do Vizela,Cláudio Ruivo Pereira,Match Report,,22,P1
Regular season,6.0,Sun,2021-09-19,18:00,Porto,4.0,5–0,0.2,Moreirense,14009.0,Estádio Do Dragão,António Nobre,Match Report,,22,P1
Regular season,6.0,Sun,2021-09-19,20:30,Estoril,1.1,0–1,1.9,Sporting CP,1987.0,Estádio António Coimbra da Mota,Tiago Martins,Match Report,,22,P1
Regular season,6.0,Mon,2021-09-20,19:00,Benfica,2.8,3–1,0.6,Boavista,23000.0,Estádio do Sport Lisboa e Benfica,Hugo Miguel,Match Report,,22,P1
Regular season,6.0,Mon,2021-09-20,21:15,Braga,2.1,3–1,0.3,Tondela,5164.0,Estádio Municipal de Braga,João Pinheiro,Match Report,,22,P1
,,,,,,,,,,,,,,,22,P1
Regular season,7.0,Fri,2021-09-24,19:00,Sporting CP,2.9,1–0,0.1,Marítimo,18741.0,Estádio José Alvalade,João Pinheiro,Match Report,,22,P1
Regular season,7.0,Fri,2021-09-24,21:15,Gil Vicente FC,1.2,1–2,1.5,Porto,5258.0,Estádio Cidade de Barcelos,Artur Soares Dias,Match Report,,22,P1
Regular season,7.0,Sat,2021-09-25,15:30,Moreirense,1.9,2–1,0.7,Arouca,863.0,P.D. Comendador Joaquim de Almeida Freit...,Fábio Oliveira Melo,Match Report,,22,P1
Regular season,7.0,Sat,2021-09-25,18:00,Vitória,1.7,1–3,2.9,Benfica,14222.0,Estádio Dom Afonso Henriques,Luís Godinho,Match Report,,22,P1
Regular season,7.0,Sat,2021-09-25,20:30,Tondela,1.0,3–2,1.4,Famalicão,439.0,Estádio João Cardoso,João Ferreira,Match Report,,22,P1
Regular season,7.0,Sun,2021-09-26,17:00,Santa Clara,1.3,1–1,0.8,Braga,1033.0,Estádio de São Miguel,Fábio Veríssimo,Match Report,,22,P1
Regular season,7.0,Sun,2021-09-26,20:30,Portimonense,0.6,0–0,1.0,Vizela,1627.0,Estádio do Portimonense SC,António Nobre,Match Report,,22,P1
Regular season,7.0,Mon,2021-09-27,19:00,Paços,1.5,2–2,1.9,B-SAD,1307.0,Estádio da Capital do Móvel,Nuno Almeida,Match Report,,22,P1
Regular season,7.0,Mon,2021-09-27,21:15,Boavista,1.6,1–1,0.8,Estoril,2094.0,Estádio do Bessa Século XXI,Miguel Nogueira,Match Report,,22,P1
,,,,,,,,,,,,,,,22,P1
Regular season,8.0,Fri,2021-10-01,19:00,Marítimo,0.3,0–0,1.1,Moreirense,1872.0,Estádio dos Barreiros,Hugo Coelho,Match Report,,22,P1
