Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes,season,Div
Regular season,1.0,Sat,2019-08-17,18:00,Racing Sant,0–1,Málaga,12516.0,Campos de Sport de El Sardinero,Aitor Gorostegui,Match Report,,20,SP2
Regular season,1.0,Sat,2019-08-17,18:00,Lugo,0–0,Extremadura,2841.0,Estadio Anxo Carro,Víctor Areces,Match Report,,20,SP2
Regular season,1.0,Sat,2019-08-17,19:00,Almería,3–0,Albacete,7395.0,Estadio de los Juegos Mediterráneos,Saúl Ais,Match Report,,20,SP2
Regular season,1.0,Sat,2019-08-17,20:00,Elche,0–2,Fuenlabrada,9128.0,Estadio Manuel Martínez Valero,Jon González,Match Report,,20,SP2
Regular season,1.0,Sat,2019-08-17,21:00,Zaragoza,2–0,Tenerife,17415.0,Estadio de la Romareda,Dámaso Arcediano,Match Report,,20,SP2
Regular season,1.0,Sat,2019-08-17,21:00,Rayo Vallecano,2–2,CD Mirandés,5876.0,Estadio del Rayo Vallecano,Juan Pulido,Match Report,,20,SP2
Regular season,1.0,Sun,2019-08-18,18:00,Numancia,0–1,Alcorcón,3124.0,Nuevo Estadio Los Pajaritos,Alejandro Muñíz,Match Report,,20,SP2
Regular season,1.0,Sun,2019-08-18,18:00,La Coruña,3–2,Oviedo,20474.0,Estadio Municipal de Riazor,Daniel Ocón,Match Report,,20,SP2
Regular season,1.0,Sun,2019-08-18,18:30,Girona,1–1,Sporting Gijón,8183.0,Estadi Municipal de Montilivi,Daniel Trujillo,Match Report,,20,SP2
Regular season,1.0,Sun,2019-08-18,19:00,Las Palmas,0–1,Huesca,10464.0,Estadio Insular,Jorge Figueroa,Match Report,,20,SP2
Regular season,1.0,Sun,2019-08-18,20:00,Cádiz,3–1,Ponferradina,15009.0,Estadio Ramón de Carranza,Álvaro Moreno,Match Report,,20,SP2
,,,,,,,,,,,,,20,SP2
Regular season,2.0,Fri,2019-08-23,22:00,Albacete,1–0,Girona,8292.0,Estadio Carlos Belmonte,Santiago Varón,Match Report,,20,SP2
Regular season,2.0,Sat,2019-08-24,18:00,Racing Sant,1–1,Almería,11402.0,Campos de Sport de El Sardinero,Oliver De La Fuente,Match Report,,20,SP2
Regular season,2.0,Sat,2019-08-24,18:00,Oviedo,1–1,Lugo,11408.0,Estadio Nuevo Carlos Tartiere,José López,Match Report,,20,SP2
Regular season,2.0,Sat,2019-08-24,19:00,CD Mirandés,1–2,Cádiz,2943.0,Estadio Municipal de Anduva,Iosu Galech,Match Report,,20,SP2
Regular season,2.0,Sat,2019-08-24,20:00,Alcorcón,1–2,Elche,1992.0,Estadio Santo Domingo,Luis Milla,Match Report,,20,SP2
Regular season,2.0,Sat,2019-08-24,21:00,Málaga,1–1,Las Palmas,17612.0,Estadio La Rosaleda,Gorka Sagues,Match Report,,20,SP2
Regular season,2.0,Sun,2019-08-25,18:00,Ponferradina,1–1,Zaragoza,5670.0,Estadio El Toralín,Javier Villanueva,Match Report,,20,SP2
Regular season,2.0,Sun,2019-08-25,18:00,Sporting Gijón,1–1,Rayo Vallecano,21893.0,Estadio Municipal El Molinón,Iñaki Bikandi,Match Report,,20,SP2
Regular season,2.0,Sun,2019-08-25,19:00,Huesca,3–1,La Coruña,5984.0,Estadio El Alcoraz,Isidro Díaz de Mera,Match Report,,20,SP2
Regular season,2.0,Sun,2019-08-25,19:00,Tenerife,3–2,Numancia,10550.0,Estadio Heliodoro Rodríguez Lopéz,Miguel Ángel Ortiz Arias,Match Report,,20,SP2
Regular season,2.0,Sun,2019-08-25,21:00,Extremadura,1–2,Fuenlabrada,6409.0,Estadio Francisco de la Hera,Rubén Ávalos,Match Report,,20,SP2
,,,,,,,,,,,,,20,SP2
Regular season,3.0,Fri,2019-08-30,21:00,Zaragoza,1–0,Elche,22767.0,Estadio de la Romareda,Víctor Areces,Match Report,,20,SP2
Regular season,3.0,Sat,2019-08-31,18:00,Numancia,2–0,CD Mirandés,3073.0,Nuevo Estadio Los Pajaritos,Jorge Figueroa,Match Report,,20,SP2
Regular season,3.0,Sat,2019-08-31,18:00,Fuenlabrada,2–1,Oviedo,5320.0,Estadio Fernando Torres,Alejandro Muñíz,Match Report,,20,SP2
Regular season,3.0,Sat,2019-08-31,20:00,Las Palmas,2–2,Racing Sant,12839.0,Estadio Insular,Álvaro Moreno,Match Report,,20,SP2
