Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes,season,Div
1.0,Fri,2020-09-11,20:00,Rizespor,1–2,Fenerbahçe,,Yeni Rize Şehir Stadı,Arda Kardeşler,Match Report,,21,T1
1.0,Sat,2020-09-12,17:00,Sivasspor,0–2,Alanyaspor,,Sivas Arena,Ali Palabıyık,Match Report,,21,T1
1.0,Sat,2020-09-12,17:00,Fatih Karagümrük,3–0,Yeni Mal'spor,,Atatürk Olimpiyat Stadı,Abdulkadir Bitigen,Match Report,,21,T1
1.0,Sat,2020-09-12,20:00,Galatasaray,3–1,Gaziantep FK,,Türk Telekom Arena,Bahattin Şimşek,Match Report,,21,T1
1.0,Sat,2020-09-12,20:00,Göztepe,5–1,Denizlispor,,Gürsel Aksel Stadyumu,Tugay Kaan Numanoğlu,Match Report,,21,T1
1.0,Sun,2020-09-13,17:00,Ankaragücü,1–2,Erzurum BB,,Eryaman Stadyumu,Burak Şeker,Match Report,,21,T1
1.0,Sun,2020-09-13,17:00,Kayserispor,1–0,Kasımpaşa,,Kadir Has Şehir Stadı,Yaşar Kemal Uğurlu,Match Report,,21,T1
1.0,Sun,2020-09-13,20:00,Trabzonspor,1–3,Beşiktaş,,Şenol Güneş Stadyumu,Ali Şansalan,Match Report,,21,T1
1.0,Sun,2020-09-13,20:00,Antalyaspor,2–0,Gençlerbirliği,,Antalya Stadyumu,Yasin Kol,Match Report,,21,T1
1.0,Mon,2020-09-14,20:00,Hatayspor,2–0,Başakşehir,,Antakya Atatürk Stadı,Mete Kalkavan,Match Report,,21,T1
,,,,,,,,,,,,21,T1
2.0,Fri,2020-09-18,20:00,Yeni Mal'spor,1–1,Göztepe,,Yeni Malatya Stadyumu,Cüneyt Çakιr,Match Report,,21,T1
2.0,Sat,2020-09-19,13:30,Gençlerbirliği,0–0,Konyaspor,,Eryaman Stadyumu,Mustafa Öğretmenoğlu,Match Report,,21,T1
2.0,Sat,2020-09-19,16:00,Denizlispor,0–0,Trabzonspor,,Denizli Atatürk Stadyumu,Volkan Bayarslan,Match Report,,21,T1
2.0,Sat,2020-09-19,19:00,Beşiktaş,1–1,Antalyaspor,,Vodafone Arena,Halil Meler,Match Report,,21,T1
2.0,Sat,2020-09-19,19:00,Alanyaspor,2–0,Kayserispor,,Bahçeşehir Okulları Stadyumu,Erkan Özdamar,Match Report,,21,T1
2.0,Sun,2020-09-20,13:30,Erzurum BB,1–2,Sivasspor,,Kazım Karabekir Stadyumu,Serkan Tokat,Match Report,,21,T1
2.0,Sun,2020-09-20,16:00,Kasımpaşa,2–0,Rizespor,,Recep Tayyip Erdoğan Stadyumu,Suat Arslanboga,Match Report,,21,T1
2.0,Sun,2020-09-20,19:00,Gaziantep FK,2–2,Fatih Karagümrük,,Kalyon Arena,Alper Ulusoy,Match Report,,21,T1
2.0,Sun,2020-09-20,19:00,Başakşehir,0–2,Galatasaray,,Başakşehir Fatih Terim Stadium,Atilla Karaoğlan,Match Report,,21,T1
2.0,Mon,2020-09-21,20:00,Fenerbahçe,0–0,Hatayspor,,Ülker Stadyumu Fenerbahçe Şükrü Saracoğl...,Umit Öztürk,Match Report,,21,T1
,,,,,,,,,,,,21,T1
3.0,Fri,2020-09-25,20:00,Fatih Karagümrük,2–0,Başakşehir,,Atatürk Olimpiyat Stadı,Ali Şansalan,Match Report,,21,T1
3.0,Sat,2020-09-26,13:30,Kayserispor,1–3,Erzurum BB,,Kadir Has Şehir Stadı,Tugay Kaan Numanoğlu,Match Report,,21,T1
3.0,Sat,2020-09-26,16:00,Göztepe,2–2,Gaziantep FK,,Gürsel Aksel Stadyumu,Yasin Kol,Match Report,,21,T1
3.0,Sat,2020-09-26,16:00,Hatayspor,1–0,Kasımpaşa,,Antakya Atatürk Stadı,Hüseyin Göçek,Match Report,,21,T1
3.0,Sat,2020-09-26,19:00,Trabzonspor,3–1,Yeni Mal'spor,,Şenol Güneş Stadyumu,Özgür Yankaya,Match Report,,21,T1
3.0,Sun,2020-09-27,13:30,Rizespor,1–1,Alanyaspor,,Yeni Rize Şehir Stadı,Fırat Aydınus,Match Report,,21,T1
3.0,Sun,2020-09-27,16:00,Konyaspor,4–1,Beşiktaş,,Konya Büyükşehir Stadı,Abdulkadir Bitigen,Match Report,,21,T1
3.0,Sun,2020-09-27,16:00,Sivasspor,0–0,Ankaragücü,,Sivas Arena,Arda Kardeşler,Match Report,,21,T1
3.0,Sun,2020-09-27,19:00,Galatasaray,0–0,Fenerbahçe,,Türk Telekom Arena,Ali Palabıyık,Match Report,,21,T1
3.0,Mon,2020-09-28,20:00,Antalyaspor,1–0,Denizlispor,,Antalya Stadyumu,Halis Özkahya,Match Report,,21,T1
,,,,,,,,,,,,21,T1
4.0,Fri,2020-10-02,20:00,Gaziantep FK,1–1,Trabzonspor,,Kalyon Arena,Fırat Aydınus,Match Report,,21,T1
4.0,Fri,2020-10-02,20:00,Ankaragücü,0–1,Kayserispor,,Eryaman Stadyumu,Bahattin Şimşek,Match Report,,21,T1
4.0,Sat,2020-10-03,13:30,Yeni Mal'spor,1–0,Antalyaspor,,Yeni Malatya Stadyumu,Alper Ulusoy,Match Report,,21,T1
4.0,Sat,2020-10-03,16:00,Başakşehir,0–0,Göztepe,,Başakşehir Fatih Terim Stadium,Özgür Yankaya,Match Report,,21,T1
4.0,Sat,2020-10-03,16:00,Erzurum BB,0–0,Rizespor,,Kazım Karabekir Stadyumu,Umit Öztürk,Match Report,,21,T1
4.0,Sat,2020-10-03,19:00,Fenerbahçe,2–1,Fatih Karagümrük,,Ülker Stadyumu Fenerbahçe Şükrü Saracoğl...,Yaşar Kemal Uğurlu,Match Report,,21,T1
4.0,Sun,2020-10-04,13:30,Denizlispor,0–0,Konyaspor,,Denizli Atatürk Stadyumu,Hüseyin Göçek,Match Report,,21,T1
4.0,Sun,2020-10-04,16:00,Beşiktaş,0–1,Gençlerbirliği,,Vodafone Arena,Mete Kalkavan,Match Report,,21,T1
4.0,Sun,2020-10-04,16:00,Alanyaspor,6–0,Hatayspor,,Bahçeşehir Okulları Stadyumu,Atilla Karaoğlan,Match Report,,21,T1
4.0,Sun,2020-10-04,19:00,Kasımpaşa,1–0,Galatasaray,,Recep Tayyip Erdoğan Stadyumu,Cüneyt Çakιr,Match Report,,21,T1
,,,,,,,,,,,,21,T1
5.0,Sat,2020-10-17,13:30,Rizespor,5–3,Ankaragücü,,Yeni Rize Şehir Stadı,Abdulkadir Bitigen,Match Report,,21,T1
5.0,Sat,2020-10-17,16:00,Konyaspor,1–1,Yeni Mal'spor,,Konya Büyükşehir Stadı,Turgut Doman,Match Report,,21,T1
5.0,Sat,2020-10-17,16:00,Kayserispor,1–3,Sivasspor,,Kadir Has Şehir Stadı,Halil Umut Meler,Match Report,,21,T1
5.0,Sat,2020-10-17,19:00,Trabzonspor,0–2,Başakşehir,,Şenol Güneş Stadyumu,Bahattin Şimşek,Match Report,,21,T1
5.0,Sun,2020-10-18,16:00,Fatih Karagümrük,1–1,Kasımpaşa,,Atatürk Olimpiyat Stadı,Erkan Özdamar,Match Report,,21,T1
5.0,Sun,2020-10-18,16:00,Antalyaspor,1–1,Gaziantep FK,,Antalya Stadyumu,Koray Gençerler,Match Report,,21,T1
5.0,Sun,2020-10-18,19:00,Göztepe,2–3,Fenerbahçe,,Gürsel Aksel Stadyumu,Atilla Karaoğlan,Match Report,,21,T1
5.0,Mon,2020-10-19,20:00,Galatasaray,1–2,Alanyaspor,,Türk Telekom Arena,Tugay Kaan Numanoğlu,Match Report,,21,T1
5.0,Mon,2020-10-19,20:00,Gençlerbirliği,1–2,Denizlispor,,Eryaman Stadyumu,Mert Güzenge,Match Report,,21,T1
,,,,,,,,,,,,21,T1
6.0,Fri,2020-10-23,20:00,Kasımpaşa,0–0,Göztepe,,Recep Tayyip Erdoğan Stadyumu,Burak Şeker,Match Report,,21,T1
6.0,Sat,2020-10-24,16:00,Gaziantep FK,1–0,Konyaspor,,Kalyon Arena,Özgür Yankaya,Match Report,,21,T1
6.0,Sat,2020-10-24,19:00,Erzurum BB,1–2,Galatasaray,,Kazım Karabekir Stadyumu,Arda Kardeşler,Match Report,,21,T1
6.0,Sat,2020-10-24,19:00,Başakşehir,5–1,Antalyaspor,,Başakşehir Fatih Terim Stadium,Ali Palabıyık,Match Report,,21,T1
6.0,Sun,2020-10-25,13:30,Yeni Mal'spor,2–1,Gençlerbirliği,,Yeni Malatya Stadyumu,Halis Özkahya,Match Report,,21,T1
6.0,Sun,2020-10-25,16:00,Alanyaspor,2–0,Fatih Karagümrük,,Bahçeşehir Okulları Stadyumu,Mete Kalkavan,Match Report,,21,T1
6.0,Sun,2020-10-25,19:00,Fenerbahçe,3–1,Trabzonspor,,Ülker Stadyumu Fenerbahçe Şükrü Saracoğl...,Cüneyt Çakιr,Match Report,,21,T1
6.0,Mon,2020-10-26,20:00,Sivasspor,0–2,Rizespor,,Sivas Arena,Yaşar Kemal Uğurlu,Match Report,,21,T1
6.0,Mon,2020-10-26,20:00,Denizlispor,2–3,Beşiktaş,,Denizli Atatürk Stadyumu,Alper Ulusoy,Match Report,,21,T1
,,,,,,,,,,,,21,T1
7.0,Fri,2020-10-30,20:00,Fatih Karagümrük,5–1,Erzurum BB,,Atatürk Olimpiyat Stadı,Fırat Aydınus,Match Report,,21,T1
7.0,Fri,2020-10-30,20:00,Trabzonspor,3–4,Kasımpaşa,,Şenol Güneş Stadyumu,Tugay Kaan Numanoğlu,Match Report,,21,T1
